"","model","variable","value"
"1","cox1","hc",0.634405144694534
"2","cox1","hc",0.596816240501414
"3","cox1","hc",0.63834361562909
"4","cox1","hc",0.612789933801607
"5","cox1","hc",0.598949592889552
"6","cox1","hc",0.565161011454506
"7","cox1","hc",0.602461468334236
"8","cox1","hc",0.651926688000846
"9","cox1","hc",0.673003802281369
"10","cox1","hc",0.670904674802843
"11","cox1","hc",0.591343722704914
"12","cox1","hc",0.633920888272033
"13","cox1","hc",0.626243317673741
"14","cox1","hc",0.60561374640043
"15","cox1","hc",0.610687968295251
"16","cox1","hc",0.567025492716367
"17","cox1","hc",0.580960107424607
"18","cox1","hc",0.654607397793641
"19","cox1","hc",0.630741271065095
"20","cox1","hc",0.665666549005765
"21","cox1","hc",0.652086872118418
"22","cox1","hc",0.580690061297144
"23","cox1","hc",0.64898281543615
"24","cox1","hc",0.629567739697954
"25","cox1","hc",0.598646494588775
"26","cox1","hc",0.613605724359639
"27","cox1","hc",0.570868258737941
"28","cox1","hc",0.622509150061
"29","cox1","hc",0.629283242186468
"30","cox1","hc",0.641670737664875
"31","cox1","hc",0.651927707655262
"32","cox1","hc",0.622863465626183
"33","cox1","hc",0.595444888777806
"34","cox1","hc",0.647272727272727
"35","cox1","hc",0.621239103946012
"36","cox1","hc",0.530679235754566
"37","cox1","hc",0.615531785372641
"38","cox1","hc",0.655184500669173
"39","cox1","hc",0.643568273224764
"40","cox1","hc",0.679115779976154
"41","cox1","hc",0.63393636555191
"42","cox1","hc",0.63017833921605
"43","cox1","hc",0.632163421990677
"44","cox1","hc",0.615017385065401
"45","cox1","hc",0.619536004448426
"46","cox1","hc",0.644102534495699
"47","cox1","hc",0.619667815029549
"48","cox1","hc",0.582883577486507
"49","cox1","hc",0.589457926706394
"50","cox1","hc",0.606746752718497
"51","cox1","hc",0.61513027751088
"52","cox1","hc",0.616472598405265
"53","cox1","hc",0.58917535596635
"54","cox1","hc",0.629127308614127
"55","cox1","hc",0.61396321306473
"56","cox1","hc",0.662582525426753
"57","cox1","hc",0.658195497358144
"58","cox1","hc",0.642021303195479
"59","cox1","hc",0.566009274261132
"60","cox1","hc",0.580645161290323
