"","Mean_hc","Mean_unoc","Mean_auc1","Mean_auc5","Mean_auc10","Mean_auc15","Mean_time","Mean_memory","Mean_bs","SD_hc","SD_unoc","SD_bs","SD_auc1","SD_auc5","SD_auc10","SD_auc15"
"cox1",6,5,6,6,6,8,5,5,16,2,1,5,3,4,4,2
"cox2",5,6,5,5,5,5,2,8,2,4,3,3,2,3,2,3
"cox3",4,4,4,4,4,4,3,1,4,1,2,2,1,1,1,1
"cox4",9,19,8,8,8,12,4,6,3,17,19,4,13,19,11,5
"coxboost",11,9,11,10,11,11,9,3,9,16,7,10,15,14,17,16
"deephit",19,17,19,19,19,19,15,15,14,7,15,13,6,9,8,9
"deepsurv",18,16,18,18,18,18,14,14,13,6,16,14,8,10,10,8
"dnnsurv1",10,14,12,11,10,9,10,13,1,8,9,1,11,6,5,6
"gacox",15,12,14,16,13,15,13,2,7,13,5,15,16,17,16,13
"gacoxboost",13,10,13,13,12,13,11,7,6,15,6,9,17,16,18,18
"gamtlr",1,1,1,1,1,1,16,19,5,12,10,7,5,8,6,12
"limmacoxboost",16,13,15,15,14,16,1,18,11,18,8,12,18,18,19,19
"limmamtlr",2,2,2,2,2,2,7,16,8,10,11,6,7,5,7,14
"mtlr1",3,3,3,3,3,3,19,17,10,19,13,8,14,15,15,15
"pcox1",12,15,10,12,15,14,18,11,15,9,17,16,12,11,13,10
"pcox2",17,18,16,17,17,17,6,12,12,3,18,11,4,2,3,4
"pcox3",8,11,9,9,9,7,12,10,17,5,14,17,10,7,9,7
"rsf1",7,8,7,7,7,6,17,9,18,11,12,18,9,12,14,17
"survivalsvm",14,7,17,14,16,10,8,4,19,14,4,19,19,13,12,11
