"","cox1","cox2","cox3","cox4","pcox1","pcox2","pcox3","coxboost","gacox","gacoxboost","limmacoxboost","mtlr1","gamtlr","limmamtlr","rsf1","survivalsvm","deephit","deepsurv","dnnsurv1"
"anz",0.619866721876805,0.609233704714197,0.61946378408364,0.5,0.623386696542054,0.621352182614001,0.623791983514679,0.629246460052531,0.606733133257957,0.607000637290085,0.61629472295226,0.817930226027758,0.889123223799501,0.867750575768855,0.643044212235328,NA,0.556290649773161,0.502637843594055,0.527202306021236
"us",0.554969862611811,NA,NA,NA,0.546912046110233,0.539058021375185,0.5459725290748,0.590423382476457,NA,NA,0.590571278631699,0.839708804298345,NA,0.899202829547124,0.609422221389202,NA,0.50020258417187,0.499382604253402,NA
"veteran",0.685236348064544,0.706325546914921,0.706325546914921,0.703282068654052,0.685428714906672,0.685158670973722,0.685968612211806,0.694326676752819,0.641577144448995,0.644397201886358,0.667330010674245,0.869495060011226,0.841026221823637,0.827189279337722,0.712207550544045,0.692112203021061,0.531525422567142,0.636894357776776,0.618795165192701
"lung",0.618754648697359,0.614429399916147,0.613925931347726,0.509190418438606,0.619672113600118,0.619405111553838,0.620743048496496,0.629391486359331,0.617171113447549,0.619655887234076,0.622357700232939,0.863605479906831,0.87831951819811,0.869342401100302,0.60264367237657,0.530811756862831,0.493286281056498,0.515974549421429,0.584117367896993
"pbc",0.821825409978148,0.817991501056234,0.818278764464272,0.807408284521048,0.822693488827939,0.64292936302793,0.822969150215993,0.823680731200167,0.81834376748582,0.819912352301619,0.82442604297216,0.549822735646624,0.553372698047172,0.662775015894185,0.825641251405609,0.509822557509558,0.547178172756119,0.594436303783175,0.770978719253469
"melanoma_clinical",0.575324941840061,NA,NA,NA,0.58366656817383,0.579936212925041,0.580509557661022,0.588119251751812,0.581006634903004,0.579994415922342,0.575383568937579,0.882266540629231,0.915443623030899,0.908659971124481,0.610417332731891,0.500006664730199,0.490868324877251,0.51767955953523,NA
"melanoma_itraq",NA,NA,NA,NA,0.473998528584562,NA,NA,0.554152394782506,0.521047232892336,0.500093101144934,0.482752769798484,NA,0.870887311170003,0.872624524958285,0.484464259701877,0.527098887571585,0.50100686017241,0.486093811996752,0.521196615402842
"melanoma_nano",NA,0.47047619047619,NA,0.455681714119214,0.628937169421871,0.614628260391306,0.629092175034538,0.557058244188344,0.568915032376963,0.56930451903673,0.514018357564847,0.691420106880259,0.774834733538125,0.804899614248286,0.683143606156652,NA,0.531668073144176,0.516980439791339,0.610302830849706
"gse1",NA,NA,NA,NA,0.527234918181081,0.5,0.520593535740698,0.467889491641515,0.502588655136855,0.486185770841488,0.46880996932509,0.690822828140162,0.824236319282353,0.729034079764641,0.54429999829699,0.546467519808885,0.49680005705311,0.499045042608377,NA
"gse2",NA,NA,NA,NA,0.5,0.5,0.577035976198319,0.396817948772685,0.48321681148538,0.50477812090752,0.396223177530854,NA,0.867862400519142,0.850463126532158,0.473906116869541,0.583158019576133,NA,NA,NA
"ngene1",NA,NA,NA,NA,0.689174432847521,0.575287086072023,0.686592916589307,0.690523198323569,0.630148441514942,0.670119469780736,NA,0.591739767699818,0.73000556733812,0.656388746042224,0.72754520744786,0.749284739592035,NA,NA,0.637842197112393
"ngene2",NA,NA,NA,NA,0.558149546057644,0.729275444311212,0.700914335728239,0.705290665702696,0.685134913613128,0.691925724490549,0.704275368449061,0.46719312403289,0.685198010912518,0.652632217021583,0.746571900517266,0.721849043463075,0.618279654712067,0.602587336302483,0.687866911147621
"mgene3",NA,NA,NA,NA,0.555211658579274,0.5,0.537698362719648,0.603155805741439,0.573444747041352,0.57937662155321,0.611384811423215,0.622031025981776,NA,0.752592708562447,0.679206073212062,NA,0.491118653914631,0.516819982366214,0.668909720152291
"ngene4",NA,NA,NA,NA,0.60453759624169,0.5141500619649,0.585869438946934,0.61637391267,0.594909057920763,0.612303943534723,0.61606666562549,0.67187059488651,0.806298518656539,0.804632747226146,0.617322470507041,0.589681846897519,0.512705864681857,0.518820569786989,0.537700825584359
"ngene5",NA,NA,NA,NA,0.675268483757981,0.597671025127567,0.700765709322139,0.649739559871766,0.598841283680499,0.644354020938279,0.67478730383881,0.697433067687816,0.697433067687816,0.638685661402544,0.701805212276309,0.685630207147174,0.525430116359465,0.609576918579129,0.640813940904576
"ngene6",NA,NA,NA,NA,0.650981386741778,0.566142034849998,0.658532990191528,0.623003212695582,0.583976313650535,0.584985932314536,0.588545735794529,0.684044069340781,0.833312681631072,0.814077360228408,0.620641677022349,0.56954892027694,0.523463333310998,0.531936174878675,0.607638321073013
