"","datasets","model","variable","value"
"434086","15","pcox1","hc",0.641304347826087
"434087","15","pcox1","hc",0.673076923076923
"434088","15","pcox1","hc",0.604395604395604
"434089","15","pcox1","hc",0.615384615384615
"434090","15","pcox1","hc",0.796610169491525
"434091","15","pcox1","hc",0.602040816326531
"434092","15","pcox1","hc",0.730769230769231
"434093","15","pcox1","hc",0.746987951807229
"434094","15","pcox1","hc",0.571428571428571
"434095","15","pcox1","hc",0.844155844155844
"434096","15","pcox1","hc",0.746666666666667
"434097","15","pcox1","hc",0.607142857142857
"434098","15","pcox1","hc",0.567307692307692
"434099","15","pcox1","hc",0.75
"434100","15","pcox1","hc",0.779411764705882
"434101","15","pcox1","hc",0.8
"434102","15","pcox1","hc",0.657142857142857
"434103","15","pcox1","hc",0.76
"434104","15","pcox1","hc",0.55
"434105","15","pcox1","hc",0.733333333333333
"434106","15","pcox1","hc",0.771739130434783
"434107","15","pcox1","hc",0.792452830188679
"434108","15","pcox1","hc",0.608695652173913
"434109","15","pcox1","hc",0.816666666666667
"434110","15","pcox1","hc",0.488636363636364
"434111","15","pcox1","hc",0.684782608695652
"434112","15","pcox1","hc",0.642857142857143
"434113","15","pcox1","hc",0.58695652173913
"434114","15","pcox1","hc",0.671052631578947
"434115","15","pcox1","hc",0.738095238095238
"434116","15","pcox1","hc",0.758241758241758
"434117","15","pcox1","hc",0.630769230769231
"434118","15","pcox1","hc",0.810810810810811
"434119","15","pcox1","hc",0.72289156626506
"434120","15","pcox1","hc",0.605263157894737
"434121","15","pcox1","hc",0.702380952380952
"434122","15","pcox1","hc",0.707070707070707
"434123","15","pcox1","hc",0.615384615384615
"434124","15","pcox1","hc",0.728813559322034
"434125","15","pcox1","hc",0.710843373493976
"434126","15","pcox1","hc",0.476190476190476
"434127","15","pcox1","hc",0.828571428571429
"434128","15","pcox1","hc",0.79047619047619
"434129","15","pcox1","hc",0.676470588235294
"434130","15","pcox1","hc",0.533333333333333
"434131","15","pcox1","hc",0.728260869565217
"434132","15","pcox1","hc",0.746987951807229
"434133","15","pcox1","hc",0.784615384615385
"434134","15","pcox1","hc",0.608695652173913
"434135","15","pcox1","hc",0.409638554216867
"434136","15","pcox1","hc",0.697247706422018
"434137","15","pcox1","hc",0.777777777777778
"434138","15","pcox1","hc",0.795918367346939
"434139","15","pcox1","hc",0.444444444444444
"434140","15","pcox1","hc",0.717948717948718
"434141","15","pcox1","hc",0.717171717171717
"434142","15","pcox1","hc",0.785714285714286
"434143","15","pcox1","hc",0.684782608695652
"434144","15","pcox1","hc",0.63855421686747
"434145","15","pcox1","hc",0.550724637681159
"434146","15","pcox1","hc",0.739130434782609
"434147","15","pcox1","hc",0.703296703296703
"434148","15","pcox1","hc",0.573333333333333
"434149","15","pcox1","hc",0.695652173913043
"434150","15","pcox1","hc",0.652173913043478
"434151","15","pcox1","hc",0.601941747572815
"434152","15","pcox1","hc",0.534246575342466
"434153","15","pcox1","hc",0.876923076923077
"434154","15","pcox1","hc",0.768115942028985
"434155","15","pcox1","hc",0.552631578947368
"434156","15","pcox1","hc",0.554054054054054
"434157","15","pcox1","hc",0.6
"434158","15","pcox1","hc",0.63265306122449
"434159","15","pcox1","hc",0.782608695652174
"434160","15","pcox1","hc",0.605263157894737
"434161","15","pcox1","hc",0.785714285714286
"434162","15","pcox1","hc",0.714285714285714
"434163","15","pcox1","hc",0.390625
"434164","15","pcox1","hc",0.779661016949153
"434165","15","pcox1","hc",0.526315789473684
"434166","15","pcox1","hc",0.706666666666667
"434167","15","pcox1","hc",0.8125
"434168","15","pcox1","hc",0.755102040816326
"434169","15","pcox1","hc",0.483333333333333
"434170","15","pcox1","hc",0.640449438202247
"434171","15","pcox1","hc",0.593406593406593
"434172","15","pcox1","hc",0.738461538461539
"434173","15","pcox1","hc",0.607142857142857
"434174","15","pcox1","hc",0.608695652173913
"434175","15","pcox1","hc",0.726190476190476
"434176","15","pcox1","hc",0.602409638554217
"434177","15","pcox1","hc",0.726190476190476
"434178","15","pcox1","hc",0.693333333333333
"434179","15","pcox1","hc",0.619047619047619
"434180","15","pcox1","hc",0.805970149253731
"434181","15","pcox1","hc",0.714285714285714
"434182","15","pcox1","hc",0.489130434782609
"434183","15","pcox1","hc",0.616161616161616
"434184","15","pcox1","hc",0.923076923076923
"434185","15","pcox1","hc",0.631578947368421
"434286","15","pcox3","hc",0.695652173913043
"434287","15","pcox3","hc",0.692307692307692
"434288","15","pcox3","hc",0.648351648351648
"434289","15","pcox3","hc",0.692307692307692
"434290","15","pcox3","hc",0.796610169491525
"434291","15","pcox3","hc",0.602040816326531
"434292","15","pcox3","hc",0.692307692307692
"434293","15","pcox3","hc",0.795180722891566
"434294","15","pcox3","hc",0.785714285714286
"434295","15","pcox3","hc",0.792207792207792
"434296","15","pcox3","hc",0.68
"434297","15","pcox3","hc",0.702380952380952
"434298","15","pcox3","hc",0.557692307692308
"434299","15","pcox3","hc",0.916666666666667
"434300","15","pcox3","hc",0.794117647058823
"434301","15","pcox3","hc",0.677777777777778
"434302","15","pcox3","hc",0.657142857142857
"434303","15","pcox3","hc",0.773333333333333
"434304","15","pcox3","hc",0.616666666666667
"434305","15","pcox3","hc",0.783333333333333
"434306","15","pcox3","hc",0.760869565217391
"434307","15","pcox3","hc",0.867924528301887
"434308","15","pcox3","hc",0.619565217391304
"434309","15","pcox3","hc",0.816666666666667
"434310","15","pcox3","hc",0.522727272727273
"434311","15","pcox3","hc",0.706521739130435
"434312","15","pcox3","hc",0.785714285714286
"434313","15","pcox3","hc",0.597826086956522
"434314","15","pcox3","hc",0.671052631578947
"434315","15","pcox3","hc",0.773809523809524
"434316","15","pcox3","hc",0.681318681318681
"434317","15","pcox3","hc",0.646153846153846
"434318","15","pcox3","hc",0.851351351351351
"434319","15","pcox3","hc",0.759036144578313
"434320","15","pcox3","hc",0.644736842105263
"434321","15","pcox3","hc",0.69047619047619
"434322","15","pcox3","hc",0.717171717171717
"434323","15","pcox3","hc",0.646153846153846
"434324","15","pcox3","hc",0.661016949152542
"434325","15","pcox3","hc",0.746987951807229
"434326","15","pcox3","hc",0.642857142857143
"434327","15","pcox3","hc",0.761904761904762
"434328","15","pcox3","hc",0.761904761904762
"434329","15","pcox3","hc",0.808823529411765
"434330","15","pcox3","hc",0.516666666666667
"434331","15","pcox3","hc",0.728260869565217
"434332","15","pcox3","hc",0.72289156626506
"434333","15","pcox3","hc",0.753846153846154
"434334","15","pcox3","hc",0.63768115942029
"434335","15","pcox3","hc",0.542168674698795
"434336","15","pcox3","hc",0.669724770642202
"434337","15","pcox3","hc",0.808080808080808
"434338","15","pcox3","hc",0.744897959183674
"434339","15","pcox3","hc",0.444444444444444
"434340","15","pcox3","hc",0.743589743589744
"434341","15","pcox3","hc",0.727272727272727
"434342","15","pcox3","hc",0.738095238095238
"434343","15","pcox3","hc",0.717391304347826
"434344","15","pcox3","hc",0.759036144578313
"434345","15","pcox3","hc",0.608695652173913
"434346","15","pcox3","hc",0.739130434782609
"434347","15","pcox3","hc",0.714285714285714
