"","datasets","model","variable","value"
"438486","15","pcox1","bs1",3.0450861178041
"438487","15","pcox1","bs1",3.43509978501346
"438488","15","pcox1","bs1",3.14394113359546
"438489","15","pcox1","bs1",2.97764390575249
"438490","15","pcox1","bs1",3.6905103698337
"438491","15","pcox1","bs1",2.97755143096957
"438492","15","pcox1","bs1",3.36035233862568
"438493","15","pcox1","bs1",3.2132771571448
"438494","15","pcox1","bs1",10.4997374151199
"438495","15","pcox1","bs1",2.79137507414998
"438496","15","pcox1","bs1",4.31652788929125
"438497","15","pcox1","bs1",3.10902653248377
"438498","15","pcox1","bs1",3.77323142448214
"438499","15","pcox1","bs1",2.40922406917598
"438500","15","pcox1","bs1",2.7635547698377
"438501","15","pcox1","bs1",3.13842655526737
"438502","15","pcox1","bs1",3.36887146152436
"438503","15","pcox1","bs1",3.02156480810656
"438504","15","pcox1","bs1",4.42475646014306
"438505","15","pcox1","bs1",2.3025033140767
"438506","15","pcox1","bs1",2.76483038410308
"438507","15","pcox1","bs1",6.04740258889093
"438508","15","pcox1","bs1",3.23681283021669
"438509","15","pcox1","bs1",2.80885686822433
"438510","15","pcox1","bs1",3.72318060442436
"438511","15","pcox1","bs1",3.40903864600657
"438512","15","pcox1","bs1",2.80337127983238
"438513","15","pcox1","bs1",3.31632368737406
"438514","15","pcox1","bs1",2.8093654477618
"438515","15","pcox1","bs1",3.38876644940044
"438516","15","pcox1","bs1",3.36368529737181
"438517","15","pcox1","bs1",3.19942229918474
"438518","15","pcox1","bs1",4.49270765973058
"438519","15","pcox1","bs1",2.97180813851193
"438520","15","pcox1","bs1",3.04403371381448
"438521","15","pcox1","bs1",2.67809746618093
"438522","15","pcox1","bs1",3.44511623432425
"438523","15","pcox1","bs1",3.23423684570691
"438524","15","pcox1","bs1",2.55489273091005
"438525","15","pcox1","bs1",3.10109257379723
"438526","15","pcox1","bs1",3.8726789566669
"438527","15","pcox1","bs1",3.23110819813285
"438528","15","pcox1","bs1",3.8834047982058
"438529","15","pcox1","bs1",3.43733210608395
"438530","15","pcox1","bs1",3.0551734829639
"438531","15","pcox1","bs1",4.63606845159056
"438532","15","pcox1","bs1",2.66540328474554
"438533","15","pcox1","bs1",3.2351047888982
"438534","15","pcox1","bs1",2.82968272601319
"438535","15","pcox1","bs1",3.47621126223459
"438536","15","pcox1","bs1",3.7253819282937
"438537","15","pcox1","bs1",3.12903642786431
"438538","15","pcox1","bs1",3.28928651745146
"438539","15","pcox1","bs1",3.9509794050782
"438540","15","pcox1","bs1",2.95493403379751
"438541","15","pcox1","bs1",3.51525548381864
"438542","15","pcox1","bs1",3.67289346900925
"438543","15","pcox1","bs1",3.03209160288285
"438544","15","pcox1","bs1",3.00621504731262
"438545","15","pcox1","bs1",2.75611808969046
"438546","15","pcox1","bs1",2.99405287636166
"438547","15","pcox1","bs1",4.64516769436797
"438548","15","pcox1","bs1",3.39058915260318
