"","datasets","model","variable","value"
"401","1","pcox1","hc",0.640543700672318
"402","1","pcox1","hc",0.60452604137778
"403","1","pcox1","hc",0.644450676138842
"404","1","pcox1","hc",0.611804537874577
"405","1","pcox1","hc",0.60603517931506
"406","1","pcox1","hc",0.572374108493624
"407","1","pcox1","hc",0.603430101706504
"408","1","pcox1","hc",0.651344846737722
"409","1","pcox1","hc",0.671360443384675
"410","1","pcox1","hc",0.669315421751777
"411","1","pcox1","hc",0.59543511239829
"412","1","pcox1","hc",0.628841082581541
"413","1","pcox1","hc",0.62776607808197
"414","1","pcox1","hc",0.615645074522958
"415","1","pcox1","hc",0.623939562821227
"416","1","pcox1","hc",0.584645458440446
"417","1","pcox1","hc",0.579701225311923
"418","1","pcox1","hc",0.65489941596366
"419","1","pcox1","hc",0.629970261041965
"420","1","pcox1","hc",0.66213672196729
"421","1","pcox1","hc",0.66018563455472
"422","1","pcox1","hc",0.576835568403865
"423","1","pcox1","hc",0.656771698575669
"424","1","pcox1","hc",0.631144181353848
"425","1","pcox1","hc",0.594843256243184
"426","1","pcox1","hc",0.616924193715649
"427","1","pcox1","hc",0.585671358532342
"428","1","pcox1","hc",0.63453131354209
"429","1","pcox1","hc",0.642783546009353
"430","1","pcox1","hc",0.636731259838246
"431","1","pcox1","hc",0.657008282395279
"432","1","pcox1","hc",0.630463267623679
"433","1","pcox1","hc",0.600693576605849
"434","1","pcox1","hc",0.64761281883584
"435","1","pcox1","hc",0.611897397444309
"436","1","pcox1","hc",0.54919619560643
"437","1","pcox1","hc",0.614901295764849
"438","1","pcox1","hc",0.65923140653878
"439","1","pcox1","hc",0.643601239533197
"440","1","pcox1","hc",0.679115779976154
"441","1","pcox1","hc",0.637939857319166
"442","1","pcox1","hc",0.635472784692551
"443","1","pcox1","hc",0.632814642171648
"444","1","pcox1","hc",0.61992935592472
"445","1","pcox1","hc",0.621698433783325
"446","1","pcox1","hc",0.64381386755961
"447","1","pcox1","hc",0.622356664706047
"448","1","pcox1","hc",0.592629144178874
"449","1","pcox1","hc",0.59740334513631
"450","1","pcox1","hc",0.605770534479486
"451","1","pcox1","hc",0.621516984118013
"452","1","pcox1","hc",0.617548411593469
"453","1","pcox1","hc",0.591271677874275
"454","1","pcox1","hc",0.632539123079092
"455","1","pcox1","hc",0.614697821603142
"456","1","pcox1","hc",0.662939392137037
"457","1","pcox1","hc",0.658023202389157
"458","1","pcox1","hc",0.641021153172976
"459","1","pcox1","hc",0.568802726409297
"460","1","pcox1","hc",0.593057214921014
"461","1","pcox1","hc",0.584714816610115
"462","1","pcox1","hc",0.651848509779984
"463","1","pcox1","hc",0.627931329052881
"464","1","pcox1","hc",0.621525901914881
"465","1","pcox1","hc",0.627656921158376
"466","1","pcox1","hc",0.621477435164386
"467","1","pcox1","hc",0.603000591249507
"468","1","pcox1","hc",0.612959070112526
"469","1","pcox1","hc",0.621594927836365
"470","1","pcox1","hc",0.639968667384706
"471","1","pcox1","hc",0.674026598301554
"472","1","pcox1","hc",0.612793742121085
"473","1","pcox1","hc",0.606435447711987
"474","1","pcox1","hc",0.621950585175553
"475","1","pcox1","hc",0.613022249348055
"476","1","pcox1","hc",0.620863637583532
"477","1","pcox1","hc",0.601585014409222
"478","1","pcox1","hc",0.599307411245024
"479","1","pcox1","hc",0.640700853747001
"480","1","pcox1","hc",0.600749013575871
"481","1","pcox1","hc",0.64985563041386
"482","1","pcox1","hc",0.627106300695613
"483","1","pcox1","hc",0.627236393873555
"484","1","pcox1","hc",0.623038630607551
"485","1","pcox1","hc",0.615427840039959
"486","1","pcox1","hc",0.620941182874718
"487","1","pcox1","hc",0.619093831503609
"488","1","pcox1","hc",0.640255627191494
"489","1","pcox1","hc",0.578231105490336
"490","1","pcox1","hc",0.639714337590026
"491","1","pcox1","hc",0.605194880073801
"492","1","pcox1","hc",0.656987351009487
"493","1","pcox1","hc",0.651779567156584
"494","1","pcox1","hc",0.621750557047363
"495","1","pcox1","hc",0.601983557353517
"496","1","pcox1","hc",0.611623846345722
"497","1","pcox1","hc",0.613948344284692
"498","1","pcox1","hc",0.629751847940866
"499","1","pcox1","hc",0.613434767511601
"500","1","pcox1","hc",0.667646672791705
"601","1","pcox3","hc",0.640982168956445
"602","1","pcox3","hc",0.607438016528926
"603","1","pcox3","hc",0.643235495731289
"604","1","pcox3","hc",0.611551872252261
"605","1","pcox3","hc",0.605693330847163
"606","1","pcox3","hc",0.57240112383834
"607","1","pcox3","hc",0.603202187971853
"608","1","pcox3","hc",0.651027478776018
"609","1","pcox3","hc",0.672069343300896
"610","1","pcox3","hc",0.667996041860326
