"","datasets","model","variable","value"
"6171","1","pcox1","bs1",220.48672972196
"6172","1","pcox1","bs1",245.883227025549
"6173","1","pcox1","bs1",268.930134387745
"6174","1","pcox1","bs1",265.376439422976
"6175","1","pcox1","bs1",326.375209548638
"6176","1","pcox1","bs1",299.827238279044
"6177","1","pcox1","bs1",235.650329178805
"6178","1","pcox1","bs1",257.052753239206
"6179","1","pcox1","bs1",324.531126079552
"6180","1","pcox1","bs1",206.442626988289
"6181","1","pcox1","bs1",245.034961575206
"6182","1","pcox1","bs1",238.673122737022
"6183","1","pcox1","bs1",308.283930374165
"6184","1","pcox1","bs1",229.287371229579
"6185","1","pcox1","bs1",308.018944982518
"6186","1","pcox1","bs1",255.861026259693
"6187","1","pcox1","bs1",211.292473256004
"6188","1","pcox1","bs1",253.466244188165
"6189","1","pcox1","bs1",279.245895665973
"6190","1","pcox1","bs1",340.784963895149
"6191","1","pcox1","bs1",307.664977923501
"6192","1","pcox1","bs1",240.561297267082
"6193","1","pcox1","bs1",276.485539640345
"6194","1","pcox1","bs1",218.883090690528
"6195","1","pcox1","bs1",246.96765076831
"6196","1","pcox1","bs1",212.039951819989
"6197","1","pcox1","bs1",302.193159876845
"6198","1","pcox1","bs1",382.006746050498
"6199","1","pcox1","bs1",240.317440797414
"6200","1","pcox1","bs1",212.376084305467
"6201","1","pcox1","bs1",187.267052807306
"6202","1","pcox1","bs1",247.733668109359
"6203","1","pcox1","bs1",274.277448724907
"6204","1","pcox1","bs1",372.056337830989
"6205","1","pcox1","bs1",275.781611075603
"6206","1","pcox1","bs1",252.192463518899
"6207","1","pcox1","bs1",329.574271912902
"6208","1","pcox1","bs1",239.271981830883
"6209","1","pcox1","bs1",255.085015096899
"6210","1","pcox1","bs1",231.682291713965
"6211","1","pcox1","bs1",234.958065704124
"6212","1","pcox1","bs1",279.22898504513
"6213","1","pcox1","bs1",271.321921159367
"6214","1","pcox1","bs1",339.632498195186
"6215","1","pcox1","bs1",201.412467562253
"6216","1","pcox1","bs1",208.125321051598
"6217","1","pcox1","bs1",283.050375048442
"6218","1","pcox1","bs1",223.036148345406
"6219","1","pcox1","bs1",331.476974062587
"6220","1","pcox1","bs1",323.44422902052
"6221","1","pcox1","bs1",273.634558969159
"6222","1","pcox1","bs1",254.001290885022
"6223","1","pcox1","bs1",283.800360631132
"6224","1","pcox1","bs1",274.507608844765
"6225","1","pcox1","bs1",215.84190284303
"6226","1","pcox1","bs1",321.7910442294
"6227","1","pcox1","bs1",237.930040412036
"6228","1","pcox1","bs1",237.311063837425
"6229","1","pcox1","bs1",333.147943362948
"6230","1","pcox1","bs1",223.59532381195
"6231","1","pcox1","bs1",248.538063352588
"6232","1","pcox1","bs1",365.425123848329
"6233","1","pcox1","bs1",213.870642322972
"6234","1","pcox1","bs1",210.262019159999
"6235","1","pcox1","bs1",305.509736956118
"6236","1","pcox1","bs1",251.745534982988
"6237","1","pcox1","bs1",253.455975297042
"6238","1","pcox1","bs1",213.708528355858
"6239","1","pcox1","bs1",248.189578800177
"6240","1","pcox1","bs1",356.030713923444
"6241","1","pcox1","bs1",201.756227621755
"6242","1","pcox1","bs1",216.26039370042
"6243","1","pcox1","bs1",239.899203663898
"6244","1","pcox1","bs1",314.71446134893
"6245","1","pcox1","bs1",412.028803342947
"6246","1","pcox1","bs1",233.662637766515
"6247","1","pcox1","bs1",300.216506658278
"6248","1","pcox1","bs1",292.793092036769
"6249","1","pcox1","bs1",249.200403018384
"6250","1","pcox1","bs1",240.070737857877
"6251","1","pcox1","bs1",205.474521756951
"6252","1","pcox1","bs1",392.766646844967
"6253","1","pcox1","bs1",213.180567873254
"6254","1","pcox1","bs1",273.619519131005
"6255","1","pcox1","bs1",277.345058241008
"6256","1","pcox1","bs1",284.677754764742
"6257","1","pcox1","bs1",267.592222908641
"6258","1","pcox1","bs1",280.388470636122
"6259","1","pcox1","bs1",213.221711388264
"6260","1","pcox1","bs1",263.848527433032
"6261","1","pcox1","bs1",238.195519296827
"6262","1","pcox1","bs1",315.029935727496
"6263","1","pcox1","bs1",239.670225862236
"6264","1","pcox1","bs1",339.482844293328
"6265","1","pcox1","bs1",204.840859199834
"6266","1","pcox1","bs1",247.804319634467
