,model,variable,value
6395,pcox1,auc1,0.588235294
6396,pcox1,auc1,0.611111111
6397,pcox1,auc1,0.457065398
6398,pcox1,auc1,0.694444444
6399,pcox1,auc1,0.62037037
6400,pcox1,auc1,0.696428571
6401,pcox1,auc1,0.673684211
6402,pcox1,auc1,0.5688607
6403,pcox1,auc1,0.455555556
6404,pcox1,auc1,0.49122807
6405,pcox1,auc1,0.632840619
6406,pcox1,auc1,0.631578947
6407,pcox1,auc1,0.576355456
6408,pcox1,auc1,0.5625
6409,pcox1,auc1,0.558823529
6410,pcox1,auc1,0.626689653
6411,pcox1,auc1,0.656862745
6412,pcox1,auc1,0.600461894
6413,pcox1,auc1,0.45
6414,pcox1,auc1,0.688606998
6415,pcox2,auc1,0.5
6416,pcox2,auc1,0.5
6417,pcox2,auc1,0.5
6418,pcox2,auc1,0.5
6419,pcox2,auc1,0.5
6420,pcox2,auc1,0.625
6421,pcox2,auc1,0.736842105
6422,pcox2,auc1,0.371616024
6423,pcox2,auc1,0.5
6424,pcox2,auc1,0.50877193
6425,pcox2,auc1,0.5
6426,pcox2,auc1,0.463157895
6427,pcox2,auc1,0.5
6428,pcox2,auc1,0.5
6429,pcox2,auc1,0.480392157
6430,pcox2,auc1,0.5
6431,pcox2,auc1,0.421568627
6432,pcox2,auc1,0.5
6433,pcox2,auc1,0.416666667
6434,pcox2,auc1,0.5
6435,pcox3,auc1,0.598039216
6436,pcox3,auc1,0.655555556
6437,pcox3,auc1,0.5044055
6438,pcox3,auc1,0.652777778
6439,pcox3,auc1,0.62962963
6440,pcox3,auc1,0.651785714
6441,pcox3,auc1,0.705263158
6442,pcox3,auc1,0.659545106
6443,pcox3,auc1,0.433333333
6444,pcox3,auc1,0.473684211
6445,pcox3,auc1,0.53939236
6446,pcox3,auc1,0.621052632
6447,pcox3,auc1,0.545989716
6448,pcox3,auc1,0.4375
6449,pcox3,auc1,0.578431373
6450,pcox3,auc1,0.618414584
6451,pcox3,auc1,0.460784314
6452,pcox3,auc1,0.611547344
6453,pcox3,auc1,0.35
6454,pcox3,auc1,0.601421323
6455,rsf1,auc1,0.85
6456,rsf1,auc1,0.575
6457,rsf1,auc1,0.533333333
6458,rsf1,auc1,0.555994527
6459,rsf1,auc1,0.598039216
6460,rsf1,auc1,0.529411765
6461,rsf1,auc1,0.722222222
6462,rsf1,auc1,0.366666667
6463,rsf1,auc1,0.581436041
6464,rsf1,auc1,0.71875
6465,rsf1,auc1,0.763157895
6466,rsf1,auc1,0.55
6467,rsf1,auc1,0.688888889
6468,rsf1,auc1,0.704081633
6469,rsf1,auc1,0.395824112
6470,rsf1,auc1,0.719577072
6471,rsf1,auc1,0.666666667
6472,rsf1,auc1,0.518518519
6473,rsf1,auc1,0.458333333
6474,rsf1,auc1,0.733333333
6475,rsf1,auc1,0.685185185
6476,rsf1,auc1,0.612310152
6477,rsf1,auc1,0.473684211
6478,rsf1,auc1,0.822222222
6479,rsf1,auc1,0.598214286
6480,rsf1,auc1,0.65104875
6481,rsf1,auc1,0.819444444
6482,rsf1,auc1,0.669642857
6483,rsf1,auc1,0.444444444
6484,rsf1,auc1,0.55
6485,rsf1,auc1,0.726315789
6486,rsf1,auc1,0.5
6487,rsf1,auc1,0.655555556
6488,rsf1,auc1,0.628195857
6489,rsf1,auc1,0.438596491
6490,rsf1,auc1,0.825396825
6491,rsf1,auc1,0.696078431
6492,rsf1,auc1,0.76
6493,rsf1,auc1,0.460784314
6494,rsf1,auc1,0.484474011
6495,rsf1,auc1,0.663865546
6496,rsf1,auc1,0.401785714
6497,rsf1,auc1,0.676470588
6498,rsf1,auc1,0.858280136
6499,rsf1,auc1,0.511111111
6500,rsf1,auc1,0.474074074
6501,rsf1,auc1,0.516666667
6502,rsf1,auc1,0.510416667
6503,rsf1,auc1,0.385964912
6504,rsf1,auc1,0.928872517
6505,rsf1,auc1,0.6875
6506,rsf1,auc1,0.685714286
6507,rsf1,auc1,0.736842105
6508,rsf1,auc1,0.659257329
6509,rsf1,auc1,0.633333333
6510,rsf1,auc1,0.642105263
6511,rsf1,auc1,0.561403509
6512,rsf1,auc1,0.740562978
6513,rsf1,auc1,0.5
