,model,variable,value
7969,pcox1,auc1,0.603827725
7970,pcox1,auc1,0.561009577
7971,pcox1,auc1,0.5
7972,pcox1,auc1,0.5
7973,pcox1,auc1,0.683328999
7974,pcox1,auc1,0.580508833
7975,pcox1,auc1,0.5
7976,pcox1,auc1,0.738961711
7977,pcox1,auc1,0.648627969
7978,pcox1,auc1,0.617315133
7979,pcox1,auc1,0.5
7980,pcox1,auc1,0.5
7981,pcox1,auc1,0.640364209
7982,pcox1,auc1,0.5
7983,pcox1,auc1,0.684651096
7984,pcox1,auc1,0.5
7985,pcox1,auc1,0.806934855
7986,pcox1,auc1,0.655920555
7987,pcox1,auc1,0.5
7988,pcox1,auc1,0.597878277
7989,pcox1,auc1,0.728652889
7990,pcox1,auc1,0.573319577
7991,pcox1,auc1,0.664536836
7992,pcox1,auc1,0.5
7993,pcox1,auc1,0.5
7994,pcox1,auc1,0.67769595
7995,pcox1,auc1,0.5
7996,pcox1,auc1,0.731012578
7997,pcox1,auc1,0.528426913
7998,pcox1,auc1,0.5
7999,pcox1,auc1,0.5
8000,pcox1,auc1,0.5
8001,pcox1,auc1,0.529858737
8002,pcox1,auc1,0.638858899
8003,pcox1,auc1,0.5
8004,pcox1,auc1,0.5
8005,pcox1,auc1,0.5
8006,pcox1,auc1,0.751844924
8007,pcox1,auc1,0.531050405
8008,pcox1,auc1,0.6354215
8009,pcox1,auc1,0.235200623
8010,pcox1,auc1,0.5
8011,pcox1,auc1,0.5
8012,pcox1,auc1,0.5
8013,pcox1,auc1,0.5
8014,pcox1,auc1,0.628586132
8015,pcox1,auc1,0.5
8016,pcox1,auc1,0.5
8017,pcox1,auc1,0.53397924
8018,pcox1,auc1,0.5
8019,pcox1,auc1,0.597591422
8020,pcox1,auc1,0.71671372
8021,pcox1,auc1,0.667986443
8022,pcox1,auc1,0.632185211
8023,pcox1,auc1,0.642268109
8024,pcox1,auc1,0.607798994
8025,pcox1,auc1,0.658390831
8026,pcox1,auc1,0.5
8027,pcox1,auc1,0.5
8028,pcox1,auc1,0.619264358
8029,pcox1,auc1,0.5
8030,pcox1,auc1,0.771983711
8031,pcox1,auc1,0.5
8032,pcox1,auc1,0.5
8033,pcox1,auc1,0.613096998
8034,pcox1,auc1,0.5
8035,pcox1,auc1,0.5
8036,pcox1,auc1,0.592636685
8037,pcox1,auc1,0.599965648
8038,pcox1,auc1,0.594789709
8039,pcox1,auc1,0.588031898
8040,pcox1,auc1,0.5
8041,pcox1,auc1,0.5
8042,pcox1,auc1,0.799815584
8043,pcox1,auc1,0.566449707
8044,pcox1,auc1,0.5
8045,pcox1,auc1,0.861045178
8046,pcox1,auc1,0.746550795
8047,pcox1,auc1,0.715674128
8048,pcox1,auc1,0.637884876
8049,pcox1,auc1,0.657571991
8050,pcox1,auc1,0.624844615
8051,pcox1,auc1,0.669765685
8052,pcox1,auc1,0.5
8053,pcox1,auc1,0.622427214
8054,pcox1,auc1,0.59056609
8055,pcox1,auc1,0.654932093
8056,pcox1,auc1,0.641708968
8057,pcox1,auc1,0.5
8058,pcox1,auc1,0.693630944
8059,pcox1,auc1,0.662956467
8060,pcox1,auc1,0.562345991
8061,pcox1,auc1,0.742237774
8062,pcox1,auc1,0.579979572
8063,pcox1,auc1,0.637612518
8064,pcox1,auc1,0.5
8065,pcox1,auc1,0.563469958
8066,pcox1,auc1,0.645002418
8067,pcox1,auc1,0.662064021
8068,pcox1,auc1,0.5
8069,pcox2,auc1,0.68153085
8070,pcox2,auc1,0.772445646
8071,pcox2,auc1,0.821667849
8072,pcox2,auc1,0.812918915
8073,pcox2,auc1,0.753292381
8074,pcox2,auc1,0.629710801
8075,pcox2,auc1,0.81291975
8076,pcox2,auc1,0.71373263
8077,pcox2,auc1,0.785074181
8078,pcox2,auc1,0.731389396
8079,pcox2,auc1,0.726999718
8080,pcox2,auc1,0.774735003
8081,pcox2,auc1,0.830169188
8082,pcox2,auc1,0.69914296
8083,pcox2,auc1,0.745997351
8084,pcox2,auc1,0.708860389
8085,pcox2,auc1,0.796656274
8086,pcox2,auc1,0.784655251
8087,pcox2,auc1,0.770394274
8088,pcox2,auc1,0.749783554
8089,pcox2,auc1,0.836352999
8090,pcox2,auc1,0.627681201
8091,pcox2,auc1,0.66478922
8092,pcox2,auc1,0.810796913
8093,pcox2,auc1,0.72442418
8094,pcox2,auc1,0.703668885
8095,pcox2,auc1,0.773668217
8096,pcox2,auc1,0.776714387
8097,pcox2,auc1,0.73718911
8098,pcox2,auc1,0.733099366
8099,pcox2,auc1,0.675604078
8100,pcox2,auc1,0.751037601
8101,pcox2,auc1,0.6231508
8102,pcox2,auc1,0.655337731
8103,pcox2,auc1,0.846566753
8104,pcox2,auc1,0.76334063
8105,pcox2,auc1,0.829296092
8106,pcox2,auc1,0.72217959
8107,pcox2,auc1,0.72349498
8108,pcox2,auc1,0.619356969
8109,pcox2,auc1,0.604187579
8110,pcox2,auc1,0.722301465
8111,pcox2,auc1,0.817409996
8112,pcox2,auc1,0.659571958
8113,pcox2,auc1,0.823459734
8114,pcox2,auc1,0.750197148
8115,pcox2,auc1,0.791098784
8116,pcox2,auc1,0.792165823
8117,pcox2,auc1,0.853666417
8118,pcox2,auc1,0.739402194
8119,pcox2,auc1,0.733598853
8120,pcox2,auc1,0.659167558
8121,pcox2,auc1,0.815183983
8122,pcox2,auc1,0.796228456
8123,pcox2,auc1,0.849706951
8124,pcox2,auc1,0.627314697
8125,pcox2,auc1,0.820209097
8126,pcox2,auc1,0.777102171
8127,pcox2,auc1,0.721585947
8128,pcox2,auc1,0.751259438
8129,pcox2,auc1,0.863262121
8130,pcox2,auc1,0.591480217
8131,pcox2,auc1,0.790616668
8132,pcox2,auc1,0.759775107
8133,pcox2,auc1,0.787661301
8134,pcox2,auc1,0.842482901
8135,pcox2,auc1,0.844624761
8136,pcox2,auc1,0.72964723
8137,pcox2,auc1,0.712290573
8138,pcox2,auc1,0.68472969
8139,pcox2,auc1,0.790004606
8140,pcox2,auc1,0.79477815
8141,pcox2,auc1,0.802258745
8142,pcox2,auc1,0.797155752
8143,pcox2,auc1,0.698456111
8144,pcox2,auc1,0.824662259
8145,pcox2,auc1,0.899214534
8146,pcox2,auc1,0.752091948
8147,pcox2,auc1,0.75644241
8148,pcox2,auc1,0.631670764
8149,pcox2,auc1,0.762468638
8150,pcox2,auc1,0.771561677
8151,pcox2,auc1,0.727121817
8152,pcox2,auc1,0.756255112
8153,pcox2,auc1,0.801793065
8154,pcox2,auc1,0.74110156
8155,pcox2,auc1,0.712632859
8156,pcox2,auc1,0.758671985
8157,pcox2,auc1,0.826016722
8158,pcox2,auc1,0.789393569
8159,pcox2,auc1,0.711053078
8160,pcox2,auc1,0.718904588
8161,pcox2,auc1,0.857646212
8162,pcox2,auc1,0.714834876
8163,pcox2,auc1,0.839587449
8164,pcox2,auc1,0.832849891
8165,pcox2,auc1,0.710198596
8166,pcox2,auc1,0.806501988
8167,pcox2,auc1,0.793743706
8168,pcox2,auc1,0.676892463
8169,pcox3,auc1,0.631674136
8170,pcox3,auc1,0.745491762
8171,pcox3,auc1,0.889958673
8172,pcox3,auc1,0.765998775
8173,pcox3,auc1,0.772944162
8174,pcox3,auc1,0.699886935
8175,pcox3,auc1,0.799869744
8176,pcox3,auc1,0.774061891
8177,pcox3,auc1,0.738792921
8178,pcox3,auc1,0.714790491
8179,pcox3,auc1,0.873375298
8180,pcox3,auc1,0.78167882
8181,pcox3,auc1,0.778059781
8182,pcox3,auc1,0.681104069
8183,pcox3,auc1,0.712505598
8184,pcox3,auc1,0.833120986
8185,pcox3,auc1,0.835543198
8186,pcox3,auc1,0.684759944
8187,pcox3,auc1,0.770607421
8188,pcox3,auc1,0.680699951
8189,pcox3,auc1,0.796592122
8190,pcox3,auc1,0.644017187
8191,pcox3,auc1,0.731515779
8192,pcox3,auc1,0.870527633
8193,pcox3,auc1,0.675997967
8194,pcox3,auc1,0.684228844
8195,pcox3,auc1,0.794643269
8196,pcox3,auc1,0.762695508
8197,pcox3,auc1,0.661386473
8198,pcox3,auc1,0.809708558
8199,pcox3,auc1,0.603717287
8200,pcox3,auc1,0.848343141
8201,pcox3,auc1,0.569952865
8202,pcox3,auc1,0.692886717
8203,pcox3,auc1,0.943726395
8204,pcox3,auc1,0.79473659
8205,pcox3,auc1,0.85305792
8206,pcox3,auc1,0.79894191
8207,pcox3,auc1,0.651172506
8208,pcox3,auc1,0.689475862
8209,pcox3,auc1,0.426127889
8210,pcox3,auc1,0.774513109
8211,pcox3,auc1,0.835835001
8212,pcox3,auc1,0.758884438
8213,pcox3,auc1,0.81423573
8214,pcox3,auc1,0.697978584
8215,pcox3,auc1,0.768159158
8216,pcox3,auc1,0.814058166
8217,pcox3,auc1,0.778403602
8218,pcox3,auc1,0.700526883
8219,pcox3,auc1,0.701304235
8220,pcox3,auc1,0.718836278
8221,pcox3,auc1,0.750224058
8222,pcox3,auc1,0.731607766
8223,pcox3,auc1,0.819008614
8224,pcox3,auc1,0.694617227
8225,pcox3,auc1,0.663424133
8226,pcox3,auc1,0.828484355
8227,pcox3,auc1,0.791391487
8228,pcox3,auc1,0.679010239
8229,pcox3,auc1,0.871273398
8230,pcox3,auc1,0.683780499
8231,pcox3,auc1,0.799270324
8232,pcox3,auc1,0.726746077
8233,pcox3,auc1,0.745859758
8234,pcox3,auc1,0.84472817
8235,pcox3,auc1,0.785451784
8236,pcox3,auc1,0.729745988
8237,pcox3,auc1,0.714470626
8238,pcox3,auc1,0.667355779
8239,pcox3,auc1,0.638691683
8240,pcox3,auc1,0.876690895
8241,pcox3,auc1,0.757166411
8242,pcox3,auc1,0.894993392
8243,pcox3,auc1,0.621996461
8244,pcox3,auc1,0.732180534
8245,pcox3,auc1,0.902607403
8246,pcox3,auc1,0.772465189
8247,pcox3,auc1,0.764999906
8248,pcox3,auc1,0.669920439
8249,pcox3,auc1,0.762037515
8250,pcox3,auc1,0.682804596
8251,pcox3,auc1,0.703624121
8252,pcox3,auc1,0.834104581
8253,pcox3,auc1,0.771836837
8254,pcox3,auc1,0.692540433
8255,pcox3,auc1,0.843443237
8256,pcox3,auc1,0.679786634
8257,pcox3,auc1,0.76693867
8258,pcox3,auc1,0.772331978
8259,pcox3,auc1,0.743245473
8260,pcox3,auc1,0.720719872
8261,pcox3,auc1,0.828214548
8262,pcox3,auc1,0.697398247
8263,pcox3,auc1,0.812698876
8264,pcox3,auc1,0.854050394
8265,pcox3,auc1,0.651891246
8266,pcox3,auc1,0.730253695
8267,pcox3,auc1,0.776711263
8268,pcox3,auc1,0.842528953
8269,rsf1,auc1,0.718721921
8270,rsf1,auc1,0.841249731
8271,rsf1,auc1,0.8859485
8272,rsf1,auc1,0.744591774
8273,rsf1,auc1,0.809849283
8274,rsf1,auc1,0.682268922
8275,rsf1,auc1,0.814570882
8276,rsf1,auc1,0.877428009
8277,rsf1,auc1,0.732040632
8278,rsf1,auc1,0.808183219
8279,rsf1,auc1,0.828543548
8280,rsf1,auc1,0.821549934
8281,rsf1,auc1,0.793846281
8282,rsf1,auc1,0.777987624
8283,rsf1,auc1,0.732654185
8284,rsf1,auc1,0.835628121
8285,rsf1,auc1,0.768561961
8286,rsf1,auc1,0.749793511
8287,rsf1,auc1,0.83300344
8288,rsf1,auc1,0.755252454
8289,rsf1,auc1,0.803990195
8290,rsf1,auc1,0.687964798
8291,rsf1,auc1,0.804426545
8292,rsf1,auc1,0.839096391
8293,rsf1,auc1,0.796752536
8294,rsf1,auc1,0.748738986
8295,rsf1,auc1,0.818053192
8296,rsf1,auc1,0.767871419
8297,rsf1,auc1,0.808541352
8298,rsf1,auc1,0.820098766
8299,rsf1,auc1,0.754271396
8300,rsf1,auc1,0.805590925
8301,rsf1,auc1,0.724084373
8302,rsf1,auc1,0.765828059
8303,rsf1,auc1,0.843604211
8304,rsf1,auc1,0.831582376
8305,rsf1,auc1,0.795228039
8306,rsf1,auc1,0.88650313
8307,rsf1,auc1,0.697686613
8308,rsf1,auc1,0.739395759
8309,rsf1,auc1,0.543306759
8310,rsf1,auc1,0.780340022
8311,rsf1,auc1,0.837377539
8312,rsf1,auc1,0.801925763
8313,rsf1,auc1,0.810147897
8314,rsf1,auc1,0.80961072
8315,rsf1,auc1,0.798263395
8316,rsf1,auc1,0.864418626
8317,rsf1,auc1,0.867650294
8318,rsf1,auc1,0.686808361
8319,rsf1,auc1,0.686231231
8320,rsf1,auc1,0.873403046
8321,rsf1,auc1,0.772447608
8322,rsf1,auc1,0.867111005
8323,rsf1,auc1,0.799525617
8324,rsf1,auc1,0.791263589
8325,rsf1,auc1,0.748910315
8326,rsf1,auc1,0.815329565
8327,rsf1,auc1,0.832317001
8328,rsf1,auc1,0.810389492
8329,rsf1,auc1,0.889002479
8330,rsf1,auc1,0.722070188
8331,rsf1,auc1,0.844616325
8332,rsf1,auc1,0.697560052
8333,rsf1,auc1,0.755893804
8334,rsf1,auc1,0.837141767
8335,rsf1,auc1,0.804465515
8336,rsf1,auc1,0.675577738
8337,rsf1,auc1,0.823448192
8338,rsf1,auc1,0.759782056
8339,rsf1,auc1,0.840324585
8340,rsf1,auc1,0.846265432
8341,rsf1,auc1,0.745185018
8342,rsf1,auc1,0.910042634
8343,rsf1,auc1,0.662400867
8344,rsf1,auc1,0.744682697
8345,rsf1,auc1,0.885118512
8346,rsf1,auc1,0.86061628
8347,rsf1,auc1,0.755002737
8348,rsf1,auc1,0.737730553
8349,rsf1,auc1,0.800809367
8350,rsf1,auc1,0.863674613
8351,rsf1,auc1,0.700332698
8352,rsf1,auc1,0.81459634
8353,rsf1,auc1,0.809015444
8354,rsf1,auc1,0.713775494
8355,rsf1,auc1,0.767588324
8356,rsf1,auc1,0.859650999
8357,rsf1,auc1,0.866772022
8358,rsf1,auc1,0.787045003
8359,rsf1,auc1,0.809137538
8360,rsf1,auc1,0.748979836
8361,rsf1,auc1,0.908839445
8362,rsf1,auc1,0.67145713
8363,rsf1,auc1,0.820525759
8364,rsf1,auc1,0.884319855
8365,rsf1,auc1,0.619981468
8366,rsf1,auc1,0.787888426
8367,rsf1,auc1,0.832421563
8368,rsf1,auc1,0.843340527
8369,mtlr1,auc1,0.506022233
8370,mtlr1,auc1,0.444499339
8371,mtlr1,auc1,0.525206531
8372,mtlr1,auc1,0.43878588
8373,mtlr1,auc1,0.514844657
8374,mtlr1,auc1,0.761312247
8375,mtlr1,auc1,0.329894223
8376,mtlr1,auc1,0.449882909
8377,mtlr1,auc1,0.45784853
8378,mtlr1,auc1,0.519319821
8379,mtlr1,auc1,0.502968194
8380,mtlr1,auc1,0.453079626
8381,mtlr1,auc1,0.421558466
8382,mtlr1,auc1,0.450561632
8383,mtlr1,auc1,0.550633071
8384,mtlr1,auc1,0.598711068
8385,mtlr1,auc1,0.45291406
8386,mtlr1,auc1,0.549553838
8387,mtlr1,auc1,0.419326396
8388,mtlr1,auc1,0.579870554
8389,mtlr1,auc1,0.432487424
8390,mtlr1,auc1,0.640766902
8391,mtlr1,auc1,0.478848396
8392,mtlr1,auc1,0.395527142
8393,mtlr1,auc1,0.497534028
8394,mtlr1,auc1,0.625448806
8395,mtlr1,auc1,0.563828048
8396,mtlr1,auc1,0.363212458
8397,mtlr1,auc1,0.36174618
8398,mtlr1,auc1,0.524426936
8399,mtlr1,auc1,0.663930176
8400,mtlr1,auc1,0.438674794
8401,mtlr1,auc1,0.491815238
8402,mtlr1,auc1,0.47524146
8403,mtlr1,auc1,0.542423831
8404,mtlr1,auc1,0.546567184
8405,mtlr1,auc1,0.315240414
8406,mtlr1,auc1,0.533802875
8407,mtlr1,auc1,0.537049246
8408,mtlr1,auc1,0.711125707
8409,mtlr1,auc1,0.561196916
8410,mtlr1,auc1,0.626370194
8411,mtlr1,auc1,0.385931943
8412,mtlr1,auc1,0.62580099
8413,mtlr1,auc1,0.484546504
8414,mtlr1,auc1,0.490531966
8415,mtlr1,auc1,0.442855005
8416,mtlr1,auc1,0.434127502
8417,mtlr1,auc1,0.394869861
8418,mtlr1,auc1,0.425785453
8419,mtlr1,auc1,0.463142618
8420,mtlr1,auc1,0.488166666
8421,mtlr1,auc1,0.411985101
8422,mtlr1,auc1,0.571396975
8423,mtlr1,auc1,0.38614138
