,model,variable,value
10261,cox1,auc1,0.917404843
10262,cox1,auc1,0.868577286
10263,cox1,auc1,0.88397689
10264,cox1,auc1,0.960064838
10265,cox1,auc1,0.892516441
10266,cox1,auc1,0.884428201
10267,cox1,auc1,0.954815716
10268,cox1,auc1,0.939705084
10269,cox1,auc1,0.850273327
10270,cox1,auc1,0.936600338
10271,cox1,auc1,0.933893943
10272,cox1,auc1,0.95705739
10273,cox1,auc1,0.813484306
10274,cox1,auc1,0.911339133
10275,cox1,auc1,0.890102866
10276,cox1,auc1,0.927741325
10277,cox1,auc1,0.883842653
10278,cox1,auc1,0.93637726
10279,cox1,auc1,0.919002693
10280,cox1,auc1,0.887423701
10281,cox1,auc1,0.898434956
10282,cox1,auc1,0.948537208
10283,cox1,auc1,0.868905034
10284,cox1,auc1,0.935688749
10285,cox1,auc1,0.974010772
10286,cox1,auc1,0.854752136
10287,cox1,auc1,0.97625071
10288,cox1,auc1,0.895686411
10289,cox1,auc1,0.881736288
10290,cox1,auc1,0.884678519
10291,cox1,auc1,0.959181426
10292,cox1,auc1,0.913295443
10293,cox1,auc1,0.915965431
10294,cox1,auc1,0.926242067
10295,cox1,auc1,0.856968232
10296,cox1,auc1,0.914807129
10297,cox1,auc1,0.849206039
10298,cox1,auc1,0.918106469
10299,cox1,auc1,0.896454512
10300,cox1,auc1,0.964796363
10301,cox1,auc1,0.915196772
10302,cox1,auc1,0.865746487
10303,cox1,auc1,0.927016836
10304,cox1,auc1,0.971186933
10305,cox1,auc1,0.886196912
10306,cox1,auc1,0.906482239
10307,cox1,auc1,0.944237108
10308,cox1,auc1,0.891760551
10309,cox1,auc1,0.899911586
10310,cox1,auc1,0.952277869
10311,cox1,auc1,0.913451755
10312,cox1,auc1,0.882048415
10313,cox1,auc1,0.945042059
10314,cox1,auc1,0.837262666
10315,cox1,auc1,0.966791227
10316,cox1,auc1,0.935277409
10317,cox1,auc1,0.923077699
10318,cox1,auc1,0.940416462
10319,cox1,auc1,0.865559281
10320,cox1,auc1,0.918511716
10321,cox1,auc1,0.913963465
10322,cox1,auc1,0.929178809
10323,cox1,auc1,0.98304973
10324,cox1,auc1,0.964853698
10325,cox1,auc1,0.761385485
10326,cox1,auc1,0.85573386
10327,cox1,auc1,0.944282314
10328,cox1,auc1,0.868556238
10329,cox1,auc1,0.876228434
10330,cox1,auc1,0.952874631
10331,cox1,auc1,0.960889311
10332,cox1,auc1,0.967935783
10333,cox1,auc1,0.900251881
10334,cox1,auc1,0.887487113
10335,cox1,auc1,0.822081323
10336,cox1,auc1,0.951688171
10337,cox1,auc1,0.918997687
10338,cox1,auc1,0.937421753
10339,cox1,auc1,0.880088078
10340,cox1,auc1,0.939180912
10341,cox1,auc1,0.902799689
10342,cox1,auc1,0.815076627
10343,cox1,auc1,0.830877209
10344,cox1,auc1,0.931239698
10345,cox1,auc1,0.977085239
10346,cox1,auc1,0.942396092
10347,cox1,auc1,0.966027538
10348,cox1,auc1,0.937016188
10349,cox1,auc1,0.845302606
10350,cox1,auc1,0.874340132
10351,cox1,auc1,0.914499635
10352,cox1,auc1,0.934457861
10353,cox1,auc1,0.898268147
10354,cox1,auc1,0.837781436
10355,cox1,auc1,0.962911125
10356,cox1,auc1,0.877999442
10357,cox1,auc1,0.875158801
10358,cox1,auc1,0.936633658
10359,cox1,auc1,0.960979647
10360,cox1,auc1,0.882612867
10361,cox2,auc1,0.920292783
10362,cox2,auc1,0.866080699
10363,cox2,auc1,0.870049944
10364,cox2,auc1,0.951774797
10365,cox2,auc1,0.902201032
10366,cox2,auc1,0.889300872
10367,cox2,auc1,0.945801268
10368,cox2,auc1,0.9494468
10369,cox2,auc1,0.847493933
10370,cox2,auc1,0.941922991
10371,cox2,auc1,0.933893943
10372,cox2,auc1,0.948355728
10373,cox2,auc1,0.818220774
10374,cox2,auc1,0.907147551
10375,cox2,auc1,0.89763029
10376,cox2,auc1,0.925804761
10377,cox2,auc1,0.88036067
10378,cox2,auc1,0.926367607
10379,cox2,auc1,0.90686059
10380,cox2,auc1,0.883031282
