,model,variable,value
5978,cox1,auc1,0.583996649
5979,cox1,auc1,0.519521466
5980,cox1,auc1,0.56671117
5981,cox1,auc1,0.499955358
5982,cox1,auc1,0.647922912
5983,cox1,auc1,0.618708358
5984,cox1,auc1,0.592855855
5985,cox1,auc1,0.540649624
5986,cox1,auc1,0.471438681
5987,cox1,auc1,0.561553261
5988,cox1,auc1,0.551818681
5989,cox1,auc1,0.542793984
5990,cox1,auc1,0.471854378
5991,cox1,auc1,0.571366637
5992,cox1,auc1,0.566396472
5993,cox1,auc1,0.601723352
5994,cox1,auc1,0.569686437
5995,cox1,auc1,0.586659004
5996,cox1,auc1,0.538442735
5997,cox1,auc1,0.588380543
5998,cox1,auc1,0.509343529
5999,cox1,auc1,0.556478899
6000,cox1,auc1,0.611096192
6001,cox1,auc1,0.547503228
6002,cox1,auc1,0.616945578
6003,cox1,auc1,0.514144114
6004,cox1,auc1,0.555170482
6005,cox1,auc1,0.559015838
6006,cox1,auc1,0.579633037
6007,cox1,auc1,0.527715163
6008,cox1,auc1,0.640298622
6009,cox1,auc1,0.549902358
6010,cox1,auc1,0.507594255
6011,cox1,auc1,0.604633103
6012,cox1,auc1,0.479367478
6013,cox1,auc1,0.596347959
6014,cox1,auc1,0.588961804
6015,cox1,auc1,0.562534605
6016,cox1,auc1,0.523460691
6017,cox1,auc1,0.525304515
6018,cox1,auc1,0.561814354
6019,cox1,auc1,0.544081475
6020,cox1,auc1,0.52032426
6021,cox1,auc1,0.655273629
6022,cox1,auc1,0.563922363
6023,cox1,auc1,0.556473137
6024,cox1,auc1,0.580303143
6025,cox1,auc1,0.515243974
6026,cox1,auc1,0.543399486
6027,cox1,auc1,0.573336244
6028,cox1,auc1,0.54994042
6029,cox1,auc1,0.567945879
6030,cox1,auc1,0.494321429
6031,cox1,auc1,0.50113661
6032,cox1,auc1,0.636689895
6033,cox1,auc1,0.569572113
6034,cox1,auc1,0.546042348
6035,cox1,auc1,0.618038434
6036,cox1,auc1,0.604896341
6037,cox1,auc1,0.510978707
6038,cox1,auc1,0.554466568
6039,cox1,auc1,0.502300849
6040,cox1,auc1,0.606198215
6041,cox1,auc1,0.574003458
6042,cox1,auc1,0.610937295
6043,cox1,auc1,0.562970868
6044,cox1,auc1,0.540672877
6045,cox1,auc1,0.552889048
6046,cox1,auc1,0.556643941
6047,cox1,auc1,0.584107053
6048,cox1,auc1,0.579720594
6049,cox1,auc1,0.518867299
6050,cox1,auc1,0.619959152
6051,cox1,auc1,0.538183863
6052,cox1,auc1,0.53323382
6053,cox1,auc1,0.579422564
6054,cox1,auc1,0.583222465
6055,cox1,auc1,0.551385362
6056,cox1,auc1,0.626540662
6057,cox1,auc1,0.573696618
6058,cox1,auc1,0.555009467
6059,cox1,auc1,0.586967493
6060,cox1,auc1,0.61779122
6061,cox1,auc1,0.540909131
6062,cox1,auc1,0.517324978
6063,cox1,auc1,0.529361592
6064,cox1,auc1,0.527299223
6065,cox1,auc1,0.536787159
6066,cox1,auc1,0.484340068
6067,cox1,auc1,0.604492478
6068,cox1,auc1,0.565700182
6069,cox1,auc1,0.528952308
6070,cox1,auc1,0.530558789
6071,cox1,auc1,0.570691931
6072,cox1,auc1,0.594383139
6073,cox1,auc1,0.476473039
6074,cox1,auc1,0.548276827
6075,cox1,auc1,0.649655538
6076,cox1,auc1,0.559039142
6077,cox1,auc1,0.547340374
6078,pcox1,auc1,0.604232037
6079,pcox1,auc1,0.532112993
6080,pcox1,auc1,0.5
6081,pcox1,auc1,0.52471796
6082,pcox1,auc1,0.5
6083,pcox1,auc1,0.612901183
6084,pcox1,auc1,0.593474542
6085,pcox1,auc1,0.575624293
6086,pcox1,auc1,0.481195333
6087,pcox1,auc1,0.542652138
6088,pcox1,auc1,0.560326476
6089,pcox1,auc1,0.55953246
6090,pcox1,auc1,0.480218143
6091,pcox1,auc1,0.5
6092,pcox1,auc1,0.583370132
6093,pcox1,auc1,0.5
6094,pcox1,auc1,0.576012469
6095,pcox1,auc1,0.584148281
6096,pcox1,auc1,0.553647577
6097,pcox1,auc1,0.587525881
6098,pcox1,auc1,0.520680348
6099,pcox1,auc1,0.572031419
6100,pcox1,auc1,0.592126702
6101,pcox1,auc1,0.5
6102,pcox1,auc1,0.624400954
6103,pcox1,auc1,0.5
6104,pcox1,auc1,0.5
6105,pcox1,auc1,0.556537253
6106,pcox1,auc1,0.585293045
6107,pcox1,auc1,0.525447876
6108,pcox1,auc1,0.5
6109,pcox1,auc1,0.553786489
6110,pcox1,auc1,0.5
6111,pcox1,auc1,0.595277126
6112,pcox1,auc1,0.490536165
6113,pcox1,auc1,0.60545508
6114,pcox1,auc1,0.5
6115,pcox1,auc1,0.55257151
6116,pcox1,auc1,0.532268496
6117,pcox1,auc1,0.5
6118,pcox1,auc1,0.5
6119,pcox1,auc1,0.574441319
6120,pcox1,auc1,0.5
6121,pcox1,auc1,0.694255704
6122,pcox1,auc1,0.575488646
6123,pcox1,auc1,0.581611545
6124,pcox1,auc1,0.581118889
6125,pcox1,auc1,0.503999581
6126,pcox1,auc1,0.5
6127,pcox1,auc1,0.588122784
6128,pcox1,auc1,0.537702549
6129,pcox1,auc1,0.582740641
6130,pcox1,auc1,0.5
6131,pcox1,auc1,0.526191722
6132,pcox1,auc1,0.5
6133,pcox1,auc1,0.558464573
6134,pcox1,auc1,0.55923248
6135,pcox1,auc1,0.644239724
6136,pcox1,auc1,0.598891056
6137,pcox1,auc1,0.514400559
6138,pcox1,auc1,0.5
6139,pcox1,auc1,0.528609028
6140,pcox1,auc1,0.623651943
6141,pcox1,auc1,0.5
6142,pcox1,auc1,0.578971012
6143,pcox1,auc1,0.573353435
6144,pcox1,auc1,0.533080068
6145,pcox1,auc1,0.554928428
6146,pcox1,auc1,0.5
6147,pcox1,auc1,0.5
6148,pcox1,auc1,0.592511992
6149,pcox1,auc1,0.528441781
6150,pcox1,auc1,0.5
6151,pcox1,auc1,0.552341782
6152,pcox1,auc1,0.5
6153,pcox1,auc1,0.566122943
6154,pcox1,auc1,0.577975994
6155,pcox1,auc1,0.560200229
6156,pcox1,auc1,0.625512435
6157,pcox1,auc1,0.602171442
6158,pcox1,auc1,0.536700259
6159,pcox1,auc1,0.587029548
6160,pcox1,auc1,0.611025686
6161,pcox1,auc1,0.526436844
6162,pcox1,auc1,0.54147126
6163,pcox1,auc1,0.526862587
6164,pcox1,auc1,0.5
6165,pcox1,auc1,0.542841844
6166,pcox1,auc1,0.5
6167,pcox1,auc1,0.601420108
6168,pcox1,auc1,0.556731747
6169,pcox1,auc1,0.5
6170,pcox1,auc1,0.540614361
6171,pcox1,auc1,0.57434667
6172,pcox1,auc1,0.556756985
6173,pcox1,auc1,0.482389118
6174,pcox1,auc1,0.5
6175,pcox1,auc1,0.665458527
6176,pcox1,auc1,0.548367972
6177,pcox1,auc1,0.5
6178,pcox2,auc1,0.595865793
6179,pcox2,auc1,0.529654664
6180,pcox2,auc1,0.5
6181,pcox2,auc1,0.516096369
6182,pcox2,auc1,0.5
6183,pcox2,auc1,0.618486759
6184,pcox2,auc1,0.589360712
6185,pcox2,auc1,0.56266337
6186,pcox2,auc1,0.5
6187,pcox2,auc1,0.549805012
6188,pcox2,auc1,0.559912043
6189,pcox2,auc1,0.551981492
6190,pcox2,auc1,0.46741904
6191,pcox2,auc1,0.5
6192,pcox2,auc1,0.5
6193,pcox2,auc1,0.5
6194,pcox2,auc1,0.570570256
6195,pcox2,auc1,0.590709723
6196,pcox2,auc1,0.541869097
6197,pcox2,auc1,0.591669196
6198,pcox2,auc1,0.511953534
6199,pcox2,auc1,0.560296473
6200,pcox2,auc1,0.604952173
6201,pcox2,auc1,0.5
6202,pcox2,auc1,0.616993615
6203,pcox2,auc1,0.5
6204,pcox2,auc1,0.5
6205,pcox2,auc1,0.562913377
6206,pcox2,auc1,0.584523292
6207,pcox2,auc1,0.515026969
6208,pcox2,auc1,0.5
6209,pcox2,auc1,0.553746862
6210,pcox2,auc1,0.5
6211,pcox2,auc1,0.600826523
6212,pcox2,auc1,0.489894766
6213,pcox2,auc1,0.5
6214,pcox2,auc1,0.5
6215,pcox2,auc1,0.55085609
6216,pcox2,auc1,0.533624697
6217,pcox2,auc1,0.5
6218,pcox2,auc1,0.5
6219,pcox2,auc1,0.554258679
6220,pcox2,auc1,0.5
6221,pcox2,auc1,0.5
6222,pcox2,auc1,0.569681099
6223,pcox2,auc1,0.572901355
