"","model","variable","value"
"1","pcox1","hc",0.545454545454545
"2","pcox1","hc",0.462686567164179
"3","pcox1","hc",0.481481481481481
"4","pcox1","hc",0.6
"5","pcox1","hc",0.5
"6","pcox1","hc",0.857142857142857
"7","pcox1","hc",0.397058823529412
"8","pcox1","hc",0.761904761904762
"9","pcox1","hc",0.73015873015873
"10","pcox1","hc",0.338235294117647
"11","pcox1","hc",0.56043956043956
"12","pcox1","hc",0.527777777777778
"13","pcox1","hc",0.413793103448276
"14","pcox1","hc",0.611940298507463
"15","pcox1","hc",0.735294117647059
"16","pcox1","hc",0.62962962962963
"17","pcox1","hc",0.666666666666667
"18","pcox1","hc",0.641025641025641
"19","pcox1","hc",0.583333333333333
"20","pcox1","hc",0.404761904761905
"21","pcox1","hc",0.614035087719298
"22","pcox1","hc",0.692307692307692
"23","pcox1","hc",0.758620689655172
"24","pcox1","hc",0.807692307692308
"25","pcox1","hc",0.6
"26","pcox1","hc",0.294117647058824
"27","pcox1","hc",0.777777777777778
"28","pcox1","hc",0.4
"29","pcox1","hc",0.482758620689655
"30","pcox1","hc",0.584615384615385
"31","pcox1","hc",0.3
"32","pcox1","hc",0.5
"33","pcox1","hc",0.571428571428571
"34","pcox1","hc",0.658536585365854
"35","pcox1","hc",0.452830188679245
"36","pcox1","hc",0.5
"37","pcox1","hc",0.782608695652174
"38","pcox1","hc",0.564102564102564
"39","pcox1","hc",0.535714285714286
"40","pcox1","hc",0.375
"41","pcox1","hc",0.6
"42","pcox1","hc",0.588235294117647
"43","pcox1","hc",0.2
"44","pcox1","hc",0.61038961038961
"45","pcox1","hc",0.701298701298701
"46","pcox1","hc",0.596153846153846
"47","pcox1","hc",0.526315789473684
"48","pcox1","hc",0.586206896551724
"49","pcox1","hc",0.5
"50","pcox1","hc",0.622950819672131
"51","pcox1","hc",0.375
"52","pcox1","hc",0.754716981132076
"53","pcox1","hc",0.648148148148148
"54","pcox1","hc",0.5
"55","pcox1","hc",0.727272727272727
"56","pcox1","hc",0.509433962264151
"57","pcox1","hc",0.5
"58","pcox1","hc",0.377358490566038
"59","pcox1","hc",0.694444444444444
"60","pcox1","hc",0.479166666666667
"61","pcox1","hc",0.533333333333333
"62","pcox1","hc",0.78
"63","pcox1","hc",0.72
"64","pcox1","hc",0.431372549019608
"65","pcox1","hc",0.565217391304348
"66","pcox1","hc",0.602040816326531
"67","pcox1","hc",0.5
"68","pcox1","hc",0.5
"69","pcox1","hc",0.525423728813559
"70","pcox1","hc",0.659090909090909
"71","pcox1","hc",0.507246376811594
"72","pcox1","hc",0.529411764705882
"73","pcox1","hc",0.597014925373134
"74","pcox1","hc",0.529411764705882
"75","pcox1","hc",0.75
"76","pcox1","hc",0.522727272727273
"77","pcox1","hc",0.448275862068966
"78","pcox1","hc",0.5
"79","pcox1","hc",0.724137931034483
"80","pcox1","hc",0.585365853658537
"81","pcox1","hc",0.5
"82","pcox1","hc",0
"83","pcox1","hc",0.507042253521127
"84","pcox1","hc",0.244444444444444
"85","pcox1","hc",0.683333333333333
"86","pcox1","hc",0.62
"87","pcox1","hc",0.744186046511628
"88","pcox1","hc",0.327586206896552
"89","pcox1","hc",0.712328767123288
"90","pcox1","hc",0.714285714285714
"91","pcox1","hc",0.417721518987342
"92","pcox1","hc",0.611111111111111
"93","pcox1","hc",0.683333333333333
"94","pcox1","hc",0.236842105263158
"95","pcox1","hc",0.451612903225806
"96","pcox1","hc",0.75
"97","pcox1","hc",0.520833333333333
"98","pcox1","hc",0.372093023255814
"99","pcox1","hc",0.508474576271186
"100","pcox1","hc",0.607843137254902
"101","pcox2","hc",0.5
"102","pcox2","hc",0.5
"103","pcox2","hc",0.5
"104","pcox2","hc",0.5
"105","pcox2","hc",0.5
"106","pcox2","hc",0.5
"107","pcox2","hc",0.5
"108","pcox2","hc",0.5
"109","pcox2","hc",0.5
"110","pcox2","hc",0.5
"111","pcox2","hc",0.5
"112","pcox2","hc",0.5
"113","pcox2","hc",0.5
"114","pcox2","hc",0.5
"115","pcox2","hc",0.5
"116","pcox2","hc",0.5
"117","pcox2","hc",0.5
"118","pcox2","hc",0.5
"119","pcox2","hc",0.5
"120","pcox2","hc",0.5
"121","pcox2","hc",0.5
"122","pcox2","hc",0.5
"123","pcox2","hc",0.5
"124","pcox2","hc",0.5
"125","pcox2","hc",0.5
"126","pcox2","hc",0.5
"127","pcox2","hc",0.5
"128","pcox2","hc",0.5
"129","pcox2","hc",0.5
"130","pcox2","hc",0.5
"131","pcox2","hc",0.5
"132","pcox2","hc",0.5
"133","pcox2","hc",0.5
"134","pcox2","hc",0.5
"135","pcox2","hc",0.5
"136","pcox2","hc",0.5
"137","pcox2","hc",0.5
"138","pcox2","hc",0.5
"139","pcox2","hc",0.5
