"","model","variable","value"
"1","cox1","hc",0.72346002621232
"2","cox1","hc",0.61340206185567
"3","cox1","hc",0.61489898989899
"4","cox1","hc",0.580152671755725
"5","cox1","hc",0.548466257668712
"6","cox1","hc",0.600229095074456
"7","cox1","hc",0.595667870036101
"8","cox1","hc",0.66260162601626
"9","cox1","hc",0.630350194552529
"10","cox1","hc",0.675306957708049
"11","cox1","hc",0.695478723404255
"12","cox1","hc",0.662162162162162
"13","cox1","hc",0.628235294117647
"14","cox1","hc",0.616310160427808
"15","cox1","hc",0.51219512195122
"16","cox1","hc",0.621718377088305
"17","cox1","hc",0.583120204603581
"18","cox1","hc",0.638755980861244
"19","cox1","hc",0.693850267379679
"20","cox1","hc",0.578666666666667
"21","cox1","hc",0.574545454545455
"22","cox1","hc",0.630465444287729
"23","cox1","hc",0.7002457002457
"24","cox1","hc",0.671052631578947
"25","cox1","hc",0.507352941176471
"26","cox1","hc",0.555420219244823
"27","cox1","hc",0.654921020656136
"28","cox1","hc",0.58698224852071
"29","cox1","hc",0.65974025974026
"30","cox1","hc",0.61794500723589
"31","cox1","hc",0.617424242424242
"32","cox1","hc",0.715984147952444
"33","cox1","hc",0.663594470046083
"34","cox1","hc",0.56734693877551
"35","cox1","hc",0.553826199740597
"36","cox1","hc",0.566825775656325
"37","cox1","hc",0.610322580645161
"38","cox1","hc",0.617328519855596
"39","cox1","hc",0.594011976047904
"40","cox1","hc",0.666666666666667
"41","cox1","hc",0.692419825072886
"42","cox1","hc",0.582687338501292
"43","cox1","hc",0.603658536585366
"44","cox1","hc",0.601431980906921
"45","cox1","hc",0.689403166869671
"46","cox1","hc",0.699248120300752
"47","cox1","hc",0.593119810201661
"48","cox1","hc",0.560726447219069
"49","cox1","hc",0.669139465875371
"50","cox1","hc",0.629530201342282
"51","cox1","hc",0.568345323741007
"52","cox1","hc",0.568870523415978
"53","cox1","hc",0.633818589025756
"54","cox1","hc",0.685028248587571
"55","cox1","hc",0.71712158808933
"56","cox1","hc",0.669957686882934
"57","cox1","hc",0.642058165548098
"58","cox1","hc",0.651821862348178
"59","cox1","hc",0.548064918851436
