"","model","variable","value"
"1","cox1","hc",0.604395604395604
"2","cox1","hc",0.604651162790698
"3","cox1","hc",0.538461538461538
"4","cox1","hc",0.866666666666667
"5","cox1","hc",0.638297872340426
"6","cox1","hc",0.565656565656566
"7","cox1","hc",0.596638655462185
"8","cox1","hc",0.563218390804598
"9","cox1","hc",0.59375
"10","cox1","hc",0.636363636363636
"11","cox1","hc",0.6
"12","cox1","hc",0.504504504504504
"13","cox1","hc",0.51219512195122
"14","cox1","hc",0.704225352112676
"15","cox1","hc",0.711111111111111
"16","cox1","hc",0.623853211009174
"17","cox1","hc",0.574257425742574
"18","cox1","hc",0.585365853658537
"19","cox1","hc",0.573333333333333
"20","cox1","hc",0.511627906976744
"21","cox1","hc",0.54639175257732
"22","cox1","hc",0.611650485436893
"23","cox1","hc",0.557894736842105
"24","cox1","hc",0.488372093023256
"25","cox1","hc",0.594202898550725
"26","cox1","hc",0.519607843137255
"27","cox1","hc",0.73469387755102
"28","cox1","hc",0.609195402298851
"29","cox1","hc",0.709677419354839
"30","cox1","hc",0.735294117647059
"31","cox1","hc",0.577777777777778
"32","cox1","hc",0.591304347826087
"33","cox1","hc",0.360655737704918
"34","cox1","hc",0.315217391304348
"35","cox1","hc",0.511363636363636
"36","cox1","hc",0.457943925233645
"37","cox1","hc",0.525641025641026
"38","cox1","hc",0.670212765957447
"39","cox1","hc",0.805970149253731
"40","cox1","hc",0.511111111111111
"41","cox1","hc",0.514563106796116
"42","cox1","hc",0.51685393258427
"43","cox1","hc",0.686746987951807
"44","cox1","hc",0.569767441860465
"45","cox1","hc",0.611111111111111
"46","cox1","hc",0.571428571428571
"47","cox1","hc",0.583333333333333
"48","cox1","hc",0.592105263157895
"49","cox1","hc",0.564516129032258
"50","cox1","hc",0.636363636363636
"51","cox1","hc",0.4125
"52","cox1","hc",0.666666666666667
"53","cox1","hc",0.63953488372093
"54","cox1","hc",0.63855421686747
"55","cox1","hc",0.392405063291139
"56","cox1","hc",0.625
"57","cox1","hc",0.573033707865168
"58","cox1","hc",0.583333333333333
"59","cox1","hc",0.605263157894737
"60","cox1","hc",0.431578947368421
"61","cox1","hc",0.39
"62","cox1","hc",0.420289855072464
"63","cox1","hc",0.644444444444444
"64","cox1","hc",0.579545454545455
"65","cox1","hc",0.633663366336634
"66","cox1","hc",0.545454545454545
"67","cox1","hc",0.576086956521739
"68","cox1","hc",0.75
"69","cox1","hc",0.712871287128713
"70","cox1","hc",0.478723404255319
"71","cox1","hc",0.682352941176471
"72","cox1","hc",0.645161290322581
"73","cox1","hc",0.676767676767677
"74","cox1","hc",0.528089887640449
"75","cox1","hc",0.390243902439024
"76","cox1","hc",0.468085106382979
"77","cox1","hc",0.63
"78","cox1","hc",0.555555555555556
"79","cox1","hc",0.571428571428571
"80","cox1","hc",0.607594936708861
"81","cox1","hc",0.476744186046512
