"","model","variable","value"
"1","pcox1","hc",0.238095238095238
"2","pcox1","hc",0.4
"3","pcox1","hc",0.428571428571429
"4","pcox1","hc",0.56
"5","pcox1","hc",0.375
"6","pcox1","hc",0.242424242424242
"7","pcox1","hc",0.714285714285714
"8","pcox1","hc",0.307692307692308
"9","pcox1","hc",0.48
"10","pcox1","hc",0.52
"11","pcox1","hc",0.363636363636364
"12","pcox1","hc",0.32
"13","pcox1","hc",0.684210526315789
"14","pcox1","hc",0.666666666666667
"15","pcox1","hc",0.476190476190476
"16","pcox1","hc",0.576923076923077
"17","pcox1","hc",0.5
"18","pcox1","hc",0.571428571428571
"19","pcox1","hc",0.318181818181818
"20","pcox1","hc",0.578947368421053
"21","pcox1","hc",0.545454545454545
"22","pcox1","hc",0.409090909090909
"23","pcox1","hc",0.44
"24","pcox1","hc",0.363636363636364
"25","pcox1","hc",0.521739130434783
"26","pcox1","hc",0.357142857142857
"27","pcox1","hc",0.296296296296296
"28","pcox1","hc",0.296296296296296
"29","pcox1","hc",0.4
"30","pcox1","hc",0.777777777777778
"31","pcox1","hc",0.384615384615385
"32","pcox1","hc",0.5
"33","pcox1","hc",0.592592592592593
"34","pcox1","hc",0.708333333333333
"35","pcox1","hc",0.5
"36","pcox1","hc",0.457142857142857
"37","pcox1","hc",0.136363636363636
"38","pcox1","hc",0.461538461538462
"39","pcox1","hc",0.36
"40","pcox1","hc",0.555555555555556
"41","pcox1","hc",0.464285714285714
"42","pcox1","hc",0.357142857142857
"43","pcox1","hc",0.48
"44","pcox1","hc",0.722222222222222
"45","pcox1","hc",0.375
"46","pcox1","hc",0.692307692307692
"47","pcox1","hc",0.375
"48","pcox1","hc",0.470588235294118
"49","pcox1","hc",0.538461538461538
"50","pcox1","hc",0.346153846153846
"51","pcox1","hc",0.5
"52","pcox1","hc",0.666666666666667
"53","pcox1","hc",0.16
"54","pcox1","hc",0.5
"55","pcox1","hc",0.56
"56","pcox1","hc",0.692307692307692
"57","pcox1","hc",0.642857142857143
"58","pcox1","hc",0.44
"59","pcox1","hc",0.37037037037037
"60","pcox1","hc",0.315789473684211
"61","pcox1","hc",0.466666666666667
"62","pcox1","hc",0.529411764705882
"63","pcox1","hc",0.535714285714286
"64","pcox1","hc",0.25
"65","pcox1","hc",0.476190476190476
"66","pcox1","hc",0.588235294117647
"67","pcox1","hc",0.428571428571429
"68","pcox1","hc",0.666666666666667
"69","pcox1","hc",0.518518518518518
"70","pcox1","hc",0.2
"71","pcox1","hc",0.5
"72","pcox1","hc",0.470588235294118
"73","pcox1","hc",0.555555555555556
"74","pcox1","hc",0.52
"75","pcox1","hc",0.52
"76","pcox1","hc",0.515151515151515
"77","pcox1","hc",0.409090909090909
"78","pcox1","hc",0.333333333333333
"79","pcox1","hc",0.125
"80","pcox1","hc",0.52
"81","pcox1","hc",0.384615384615385
"82","pcox1","hc",0.368421052631579
"83","pcox1","hc",0.636363636363636
"84","pcox1","hc",0.407407407407407
"85","pcox1","hc",0.619047619047619
"86","pcox1","hc",0.448275862068966
