"","model","variable","value"
"1","cox2","hc",0.714285714285714
"2","cox2","hc",0.583333333333333
"3","cox2","hc",0.153846153846154
"4","cox2","hc",0.466666666666667
"5","cox2","hc",0.4
"6","cox2","hc",0.5
"7","cox2","hc",0.333333333333333
"8","cox2","hc",0.484848484848485
"9","cox2","hc",0.423076923076923
"10","cox2","hc",0.514285714285714
"11","cox2","hc",0.363636363636364
"12","cox2","hc",0.714285714285714
"13","cox2","hc",0.533333333333333
"14","cox2","hc",0.433333333333333
"15","cox2","hc",0.6
"16","cox2","hc",0.45
"17","cox2","hc",0.423076923076923
"18","cox2","hc",0.575757575757576
"19","cox2","hc",0.242424242424242
"20","cox2","hc",0.5
"21","cox4","hc",0.363636363636364
"22","cox4","hc",0.606060606060606
"23","cox4","hc",0.272727272727273
"24","cox4","hc",0.423076923076923
"25","cox4","hc",0.346153846153846
"26","cox4","hc",0.53125
"27","cox4","hc",0.333333333333333
"28","cox4","hc",0.424242424242424
"29","cox4","hc",0.230769230769231
"30","cox4","hc",0.657142857142857
"31","cox4","hc",0.424242424242424
"32","cox4","hc",0.714285714285714
"33","cox4","hc",0.6
"34","cox4","hc",0.433333333333333
"35","cox4","hc",0.6
"36","cox4","hc",0.333333333333333
"37","cox4","hc",0.423076923076923
"38","cox4","hc",0.545454545454545
"39","cox4","hc",0.151515151515152
"40","cox4","hc",0.7
"41","pcox1","hc",0.705882352941177
"42","pcox1","hc",1
"43","pcox1","hc",0.545454545454545
"44","pcox1","hc",0.606060606060606
"45","pcox1","hc",0.433333333333333
"46","pcox1","hc",0.676470588235294
"47","pcox1","hc",0.696969696969697
"48","pcox1","hc",0.846153846153846
"49","pcox1","hc",0.6
"50","pcox1","hc",0.692307692307692
"51","pcox1","hc",0.714285714285714
"52","pcox1","hc",0.818181818181818
"53","pcox1","hc",0.285714285714286
"54","pcox1","hc",0.428571428571429
"55","pcox1","hc",0.882352941176471
"56","pcox1","hc",0.25
"57","pcox1","hc",0.909090909090909
"58","pcox1","hc",0.533333333333333
"59","pcox1","hc",0.485714285714286
"60","pcox1","hc",0.666666666666667
"61","pcox1","hc",0.575757575757576
"62","pcox1","hc",0.633333333333333
"63","pcox1","hc",0.733333333333333
"64","pcox1","hc",0.457142857142857
"65","pcox1","hc",0.904761904761905
"66","pcox1","hc",0.4375
"67","pcox1","hc",0.730769230769231
"68","pcox1","hc",0.314285714285714
"69","pcox1","hc",0.666666666666667
"70","pcox1","hc",0.757575757575758
"71","pcox1","hc",0.484848484848485
"72","pcox1","hc",0.484848484848485
"73","pcox1","hc",0.515151515151515
"74","pcox1","hc",0.846153846153846
"75","pcox1","hc",0.653846153846154
"76","pcox1","hc",0.363636363636364
"77","pcox1","hc",0.828571428571429
"78","pcox1","hc",0.285714285714286
"79","pcox1","hc",0.8
"80","pcox1","hc",0.576923076923077
"81","pcox1","hc",0.848484848484849
"82","pcox1","hc",0.272727272727273
"83","pcox1","hc",0.696969696969697
"84","pcox1","hc",0.619047619047619
"85","pcox1","hc",0.6
"86","pcox1","hc",0.666666666666667
"87","pcox1","hc",0.666666666666667
"88","pcox1","hc",0.657142857142857
"89","pcox1","hc",0.461538461538462
"90","pcox1","hc",0.538461538461538
"91","pcox1","hc",0.4
"92","pcox1","hc",0.777777777777778
"93","pcox1","hc",0.5
"94","pcox1","hc",0.8
"95","pcox1","hc",0.766666666666667
"96","pcox1","hc",0.611111111111111
"97","pcox1","hc",0.441176470588235
"98","pcox1","hc",0.461538461538462
"99","pcox1","hc",0.933333333333333
"100","pcox1","hc",0.7
"101","pcox1","hc",0.75
"102","pcox1","hc",0.857142857142857
"103","pcox1","hc",0.666666666666667
"104","pcox1","hc",0.769230769230769
"105","pcox1","hc",0.514285714285714
"106","pcox1","hc",0.666666666666667
"107","pcox1","hc",0.428571428571429
"108","pcox1","hc",0.533333333333333
"109","pcox1","hc",0.6
"110","pcox1","hc",0.514285714285714
"111","pcox1","hc",0.766666666666667
"112","pcox1","hc",0.730769230769231
"113","pcox1","hc",0.696969696969697
"114","pcox1","hc",0.727272727272727
"115","pcox1","hc",0.566666666666667
"116","pcox1","hc",0.645161290322581
"117","pcox1","hc",0.761904761904762
"118","pcox1","hc",0.638888888888889
"119","pcox1","hc",0.633333333333333
"120","pcox1","hc",0.761904761904762
"121","pcox1","hc",0.515151515151515
"122","pcox1","hc",0.657142857142857
"123","pcox1","hc",0.846153846153846
"124","pcox1","hc",0.566666666666667
"125","pcox1","hc",0.461538461538462
"126","pcox1","hc",0.708333333333333
"127","pcox1","hc",0.730769230769231
"128","pcox1","hc",0.4
"129","pcox1","hc",0.566666666666667
"130","pcox1","hc",0.606060606060606
"131","pcox1","hc",0.28125
"132","pcox1","hc",0.857142857142857
"133","pcox1","hc",0.666666666666667
"134","pcox1","hc",0.571428571428571
