"","model","variable","value"
"1","pcox1","hc",0.5
"2","pcox1","hc",0.5
"3","pcox1","hc",0.5
"4","pcox1","hc",0.5
"5","pcox1","hc",0.5
"6","pcox1","hc",0.5
"7","pcox1","hc",0.5
"8","pcox1","hc",0.5
"9","pcox1","hc",0.5
"10","pcox1","hc",0.5
"11","pcox1","hc",0.5
"12","pcox1","hc",0.5
"13","pcox1","hc",0.5
"14","pcox1","hc",0.5
"15","pcox1","hc",0.5
"16","pcox1","hc",0.5
"17","pcox1","hc",0.5
"18","pcox1","hc",0.5
"19","pcox1","hc",0.5
"20","pcox1","hc",0.5
"21","pcox1","hc",0.5
"22","pcox1","hc",0.5
"23","pcox1","hc",0.5
"24","pcox1","hc",0.5
"25","pcox1","hc",0.5
"26","pcox1","hc",0.5
"27","pcox1","hc",0.5
"28","pcox1","hc",0.5
"29","pcox1","hc",0.5
"30","pcox1","hc",0.5
"31","pcox1","hc",0.5
"32","pcox1","hc",0.5
"33","pcox1","hc",0.5
"34","pcox1","hc",0.5
"35","pcox1","hc",0.5
"36","pcox1","hc",0.5
"37","pcox1","hc",0.5
"38","pcox1","hc",0.5
"39","pcox1","hc",0.5
"40","pcox1","hc",0.5
"41","pcox1","hc",0.5
"42","pcox1","hc",0.5
"43","pcox1","hc",0.5
"44","pcox1","hc",0.5
"45","pcox1","hc",0.5
"46","pcox1","hc",0.5
"47","pcox1","hc",0.5
"48","pcox1","hc",0.5
"49","pcox1","hc",0.5
"50","pcox1","hc",0.5
"51","pcox1","hc",0.5
"52","pcox1","hc",0.5
"53","pcox1","hc",0.5
"54","pcox1","hc",0.5
"55","pcox1","hc",0.5
"56","pcox1","hc",0.5
"57","pcox1","hc",0.5
"58","pcox1","hc",0.5
"59","pcox1","hc",0.5
"60","pcox1","hc",0.5
"61","pcox1","hc",0.5
"62","pcox1","hc",0.5
"63","pcox1","hc",0.5
"64","pcox1","hc",0.5
"65","pcox1","hc",0.5
"66","pcox1","hc",0.5
"67","pcox1","hc",0.5
"68","pcox1","hc",0.5
"69","pcox1","hc",0.5
"70","pcox1","hc",0.5
"71","pcox1","hc",0.5
"72","pcox1","hc",0.5
"73","pcox1","hc",0.5
"74","pcox1","hc",0.5
"75","pcox1","hc",0.5
"76","pcox1","hc",0.5
"77","pcox1","hc",0.5
"78","pcox1","hc",0.5
"79","pcox1","hc",0.5
"80","pcox1","hc",0.5
"81","pcox1","hc",0.5
"82","pcox1","hc",0.5
"83","pcox1","hc",0.5
"84","pcox1","hc",0.5
"85","pcox1","hc",0.5
"86","pcox1","hc",0.5
"87","pcox1","hc",0.5
"88","pcox1","hc",0.5
"89","pcox1","hc",0.5
"90","pcox1","hc",0.5
"91","pcox1","hc",0.5
"92","pcox1","hc",0.5
"93","pcox1","hc",0.5
"94","pcox1","hc",0.5
"95","pcox1","hc",0.5
"96","pcox1","hc",0.5
"97","pcox1","hc",0.5
"98","pcox1","hc",0.5
"99","pcox1","hc",0.5
"100","pcox1","hc",0.5
"101","pcox2","hc",0.5
"102","pcox2","hc",0.5
"103","pcox2","hc",0.5
"104","pcox2","hc",0.5
"105","pcox2","hc",0.5
"106","pcox2","hc",0.5
"107","pcox2","hc",0.5
"108","pcox2","hc",0.5
"109","pcox2","hc",0.5
"110","pcox2","hc",0.5
"111","pcox2","hc",0.5
"112","pcox2","hc",0.5
"113","pcox2","hc",0.5
"114","pcox2","hc",0.5
"115","pcox2","hc",0.5
"116","pcox2","hc",0.5
"117","pcox2","hc",0.5
"118","pcox2","hc",0.5
"119","pcox2","hc",0.5
"120","pcox2","hc",0.5
"121","pcox2","hc",0.5
"122","pcox2","hc",0.5
"123","pcox2","hc",0.5
"124","pcox2","hc",0.5
"125","pcox2","hc",0.5
"126","pcox2","hc",0.5
"127","pcox2","hc",0.5
"128","pcox2","hc",0.5
"129","pcox2","hc",0.5
"130","pcox2","hc",0.5
"131","pcox2","hc",0.5
"132","pcox2","hc",0.5
"133","pcox2","hc",0.5
"134","pcox2","hc",0.5
"135","pcox2","hc",0.5
"136","pcox2","hc",0.5
"137","pcox2","hc",0.5
"138","pcox2","hc",0.5
"139","pcox2","hc",0.5
"140","pcox2","hc",0.5
"141","pcox2","hc",0.5
"142","pcox2","hc",0.5
"143","pcox2","hc",0.5
"144","pcox2","hc",0.5
"145","pcox2","hc",0.5
"146","pcox2","hc",0.5
"147","pcox2","hc",0.5
"148","pcox2","hc",0.5
"149","pcox2","hc",0.5
"150","pcox2","hc",0.5
"151","pcox2","hc",0.5
"152","pcox2","hc",0.5
"153","pcox2","hc",0.5
"154","pcox2","hc",0.5
"155","pcox2","hc",0.5
"156","pcox2","hc",0.5
"157","pcox2","hc",0.5
"158","pcox2","hc",0.5
"159","pcox2","hc",0.5
"160","pcox2","hc",0.5
"161","pcox2","hc",0.5
"162","pcox2","hc",0.5
"163","pcox2","hc",0.5
"164","pcox2","hc",0.5
"165","pcox2","hc",0.5
"166","pcox2","hc",0.5
"167","pcox2","hc",0.5
"168","pcox2","hc",0.5
"169","pcox2","hc",0.5
"170","pcox2","hc",0.5
"171","pcox2","hc",0.5
"172","pcox2","hc",0.5
"173","pcox2","hc",0.5
"174","pcox2","hc",0.5
"175","pcox2","hc",0.5
"176","pcox2","hc",0.5
"177","pcox2","hc",0.5
"178","pcox2","hc",0.5
"179","pcox2","hc",0.5
"180","pcox2","hc",0.5
"181","pcox2","hc",0.5
"182","pcox2","hc",0.5
"183","pcox2","hc",0.5
"184","pcox2","hc",0.5
"185","pcox2","hc",0.5
"186","pcox2","hc",0.5
"187","pcox2","hc",0.5
"188","pcox2","hc",0.5
"189","pcox2","hc",0.5
"190","pcox2","hc",0.5
"191","pcox2","hc",0.5
"192","pcox2","hc",0.5
"193","pcox2","hc",0.5
"194","pcox2","hc",0.5
"195","pcox2","hc",0.5
"196","pcox2","hc",0.5
"197","pcox2","hc",0.5
"198","pcox2","hc",0.5
"199","pcox2","hc",0.5
"200","pcox2","hc",0.5
"201","pcox3","hc",0.526315789473684
"202","pcox3","hc",0.608695652173913
"203","pcox3","hc",0.581395348837209
"204","pcox3","hc",0.733333333333333
"205","pcox3","hc",0.384615384615385
"206","pcox3","hc",0.781818181818182
"207","pcox3","hc",0.310344827586207
"208","pcox3","hc",0.75
"209","pcox3","hc",0.489795918367347
"210","pcox3","hc",0.604651162790698
"211","pcox3","hc",0.523809523809524
"212","pcox3","hc",0.454545454545455
"213","pcox3","hc",0.549019607843137
"214","pcox3","hc",0.40625
"215","pcox3","hc",0.456521739130435
"216","pcox3","hc",0.585365853658537
"217","pcox3","hc",0.512820512820513
"218","pcox3","hc",0.542372881355932
"219","pcox3","hc",0.69047619047619
"220","pcox3","hc",0.625
"221","pcox3","hc",0.7
"222","pcox3","hc",0.351351351351351
"223","pcox3","hc",0.634146341463415
"224","pcox3","hc",0.288888888888889
"225","pcox3","hc",0.421052631578947
"226","pcox3","hc",0.711864406779661
"227","pcox3","hc",0.739130434782609
"228","pcox3","hc",0.444444444444444
"229","pcox3","hc",0.333333333333333
"230","pcox3","hc",0.403846153846154
"231","pcox3","hc",0.545454545454545
"232","pcox3","hc",0.634146341463415
"233","pcox3","hc",0.583333333333333
"234","pcox3","hc",0.4
"235","pcox3","hc",0.666666666666667
"236","pcox3","hc",0.622950819672131
"237","pcox3","hc",0.58695652173913
"238","pcox3","hc",0.804878048780488
"239","pcox3","hc",0.617021276595745
"240","pcox3","hc",0.428571428571429
"241","pcox3","hc",0.481481481481481
"242","pcox3","hc",0.661538461538462
"243","pcox3","hc",0.315789473684211
"244","pcox3","hc",0.232558139534884
"245","pcox3","hc",0.888888888888889
"246","pcox3","hc",0.6875
"247","pcox3","hc",0.685185185185185
"248","pcox3","hc",0.615384615384615
"249","pcox3","hc",0.439024390243902
"250","pcox3","hc",0.25
"251","pcox3","hc",0.641509433962264
"252","pcox3","hc",0.604651162790698
"253","pcox3","hc",0.645161290322581
"254","pcox3","hc",0.673076923076923
"255","pcox3","hc",0.342105263157895
"256","pcox3","hc",0.618181818181818
"257","pcox3","hc",0.806451612903226
"258","pcox3","hc",0.815789473684211
"259","pcox3","hc",0.615384615384615
"260","pcox3","hc",0.576923076923077
"261","pcox3","hc",0.596774193548387
"262","pcox3","hc",0.520833333333333
"263","pcox3","hc",0.606060606060606
"264","pcox3","hc",0.731707317073171
"265","pcox3","hc",0.605263157894737
"266","pcox3","hc",0.543478260869565
"267","pcox3","hc",0.46551724137931
"268","pcox3","hc",0.470588235294118
"269","pcox3","hc",0.645161290322581
"270","pcox3","hc",0.705882352941177
"271","pcox3","hc",0.553846153846154
"272","pcox3","hc",0.761904761904762
"273","pcox3","hc",0.387096774193548
"274","pcox3","hc",0.590909090909091
"275","pcox3","hc",0.571428571428571
"276","pcox3","hc",0.702127659574468
"277","pcox3","hc",0.51219512195122
"278","pcox3","hc",0.587301587301587
"279","pcox3","hc",0.7
"280","pcox3","hc",0.5
"281","pcox3","hc",0.675
"282","pcox3","hc",0.867924528301887
"283","pcox3","hc",0.53125
"284","pcox3","hc",0.708333333333333
"285","pcox3","hc",0.521739130434783
"286","pcox3","hc",0.523809523809524
"287","pcox3","hc",0.794871794871795
"288","pcox3","hc",0.5
"289","pcox3","hc",0.423076923076923
"290","pcox3","hc",0.628571428571429
"291","pcox3","hc",0.359375
"292","pcox3","hc",0.58974358974359
"293","pcox3","hc",0.787234042553192
"294","pcox3","hc",0.709677419354839
"295","pcox3","hc",0.72972972972973
"296","pcox3","hc",0.54
"297","pcox3","hc",0.811320754716981
"298","pcox3","hc",0.531914893617021
"299","pcox3","hc",0.513513513513513
"300","pcox3","hc",0.566666666666667
"301","rsf1","hc",0.5
"302","rsf1","hc",0.5
"303","rsf1","hc",0.5
"304","rsf1","hc",0.577777777777778
"305","rsf1","hc",0.346153846153846
"306","rsf1","hc",0.5
"307","rsf1","hc",0.5
"308","rsf1","hc",0.5
"309","rsf1","hc",0.551020408163265
"310","rsf1","hc",0.348837209302326
"311","rsf1","hc",0.5
"312","rsf1","hc",0.5
"313","rsf1","hc",0.5
"314","rsf1","hc",0.28125
"315","rsf1","hc",0.369565217391304
"316","rsf1","hc",0.5
"317","rsf1","hc",0.5
"318","rsf1","hc",0.5
"319","rsf1","hc",0.5
"320","rsf1","hc",0.175
"321","rsf1","hc",0.5
"322","rsf1","hc",0.5
"323","rsf1","hc",0.5
"324","rsf1","hc",0.311111111111111
"325","rsf1","hc",0.315789473684211
"326","rsf1","hc",0.5
"327","rsf1","hc",0.5
"328","rsf1","hc",0.5
"329","rsf1","hc",0.303030303030303
"330","rsf1","hc",0.384615384615385
"331","rsf1","hc",0.5
"332","rsf1","hc",0.5
"333","rsf1","hc",0.5
"334","rsf1","hc",0.355555555555556
"335","rsf1","hc",0.466666666666667
"336","rsf1","hc",0.5
"337","rsf1","hc",0.5
"338","rsf1","hc",0.5
"339","rsf1","hc",0.446808510638298
"340","rsf1","hc",0.4
"341","rsf1","hc",0.5
"342","rsf1","hc",0.5
"343","rsf1","hc",0.5
"344","rsf1","hc",0.581395348837209
"345","rsf1","hc",0.611111111111111
"346","rsf1","hc",0.5
"347","rsf1","hc",0.5
"348","rsf1","hc",0.5
"349","rsf1","hc",0.390243902439024
"350","rsf1","hc",0.7
"351","rsf1","hc",0.5
"352","rsf1","hc",0.5
"353","rsf1","hc",0.5
"354","rsf1","hc",0.480769230769231
"355","rsf1","hc",0.342105263157895
"356","rsf1","hc",0.5
"357","rsf1","hc",0.5
"358","rsf1","hc",0.5
"359","rsf1","hc",0.480769230769231
"360","rsf1","hc",0.538461538461538
"361","rsf1","hc",0.5
"362","rsf1","hc",0.5
"363","rsf1","hc",0.5
"364","rsf1","hc",0.536585365853659
"365","rsf1","hc",0.447368421052632
"366","rsf1","hc",0.5
"367","rsf1","hc",0.5
"368","rsf1","hc",0.5
"369","rsf1","hc",0.580645161290323
"370","rsf1","hc",0.147058823529412
"371","rsf1","hc",0.5
"372","rsf1","hc",0.5
"373","rsf1","hc",0.5
"374","rsf1","hc",0.568181818181818
"375","rsf1","hc",0.346938775510204
"376","rsf1","hc",0.5
"377","rsf1","hc",0.5
"378","rsf1","hc",0.5
"379","rsf1","hc",0.55
"380","rsf1","hc",0.5625
"381","rsf1","hc",0.5
"382","rsf1","hc",0.5
"383","rsf1","hc",0.5
"384","rsf1","hc",0.458333333333333
"385","rsf1","hc",0.41304347826087
"386","rsf1","hc",0.5
"387","rsf1","hc",0.5
"388","rsf1","hc",0.5
"389","rsf1","hc",0.288461538461538
"390","rsf1","hc",0.657142857142857
"391","rsf1","hc",0.5
"392","rsf1","hc",0.5
"393","rsf1","hc",0.5
"394","rsf1","hc",0.548387096774194
"395","rsf1","hc",0.297297297297297
"396","rsf1","hc",0.5
"397","rsf1","hc",0.5
"398","rsf1","hc",0.5
"399","rsf1","hc",0.297297297297297
"400","rsf1","hc",0.433333333333333
"401","coxboost","hc",0.184210526315789
"402","coxboost","hc",0.369565217391304
"403","coxboost","hc",0.465116279069767
"404","coxboost","hc",0.355555555555556
"405","coxboost","hc",0.423076923076923
"406","coxboost","hc",0.254545454545455
"407","coxboost","hc",0.413793103448276
"408","coxboost","hc",0.318181818181818
"409","coxboost","hc",0.408163265306122
"410","coxboost","hc",0.465116279069767
"411","coxboost","hc",0.595238095238095
"412","coxboost","hc",0.345454545454545
"413","coxboost","hc",0.470588235294118
"414","coxboost","hc",0.34375
"415","coxboost","hc",0.217391304347826
"416","coxboost","hc",0.268292682926829
"417","coxboost","hc",0.384615384615385
"418","coxboost","hc",0.389830508474576
"419","coxboost","hc",0.69047619047619
"420","coxboost","hc",0.4
"421","coxboost","hc",0.316666666666667
"422","coxboost","hc",0.540540540540541
"423","coxboost","hc",0.51219512195122
"424","coxboost","hc",0.244444444444444
"425","coxboost","hc",0.605263157894737
"426","coxboost","hc",0.694915254237288
"427","coxboost","hc",0.391304347826087
"428","coxboost","hc",0.5
"429","coxboost","hc",0.303030303030303
"430","coxboost","hc",0.326923076923077
"431","coxboost","hc",0.340909090909091
"432","coxboost","hc",0.292682926829268
"433","coxboost","hc",0.458333333333333
"434","coxboost","hc",0.266666666666667
"435","coxboost","hc",0.333333333333333
"436","coxboost","hc",0.442622950819672
"437","coxboost","hc",0.434782608695652
"438","coxboost","hc",0.146341463414634
"439","coxboost","hc",0.531914893617021
"440","coxboost","hc",0.0857142857142857
"441","coxboost","hc",0.592592592592593
"442","coxboost","hc",0.661538461538462
"443","coxboost","hc",0.105263157894737
"444","coxboost","hc",0.441860465116279
"445","coxboost","hc",0.333333333333333
"446","coxboost","hc",0.390625
"447","coxboost","hc",0.407407407407407
"448","coxboost","hc",0.538461538461538
"449","coxboost","hc",0.195121951219512
"450","coxboost","hc",0.75
"451","coxboost","hc",0.509433962264151
"452","coxboost","hc",0.13953488372093
"453","coxboost","hc",0.258064516129032
"454","coxboost","hc",0.365384615384615
"455","coxboost","hc",0.184210526315789
"456","coxboost","hc",0.436363636363636
"457","coxboost","hc",0.451612903225806
"458","coxboost","hc",0.342105263157895
"459","coxboost","hc",0.211538461538462
"460","coxboost","hc",0.596153846153846
"461","coxboost","hc",0.435483870967742
"462","coxboost","hc",0.4375
"463","coxboost","hc",0.424242424242424
"464","coxboost","hc",0.609756097560976
"465","coxboost","hc",0.578947368421053
"466","coxboost","hc",0.565217391304348
"467","coxboost","hc",0.224137931034483
"468","coxboost","hc",0.215686274509804
"469","coxboost","hc",0.548387096774194
