"","model","variable","value"
"1","cox1","hc",0.869239013933548
"2","cox1","hc",0.742647058823529
"3","cox1","hc",0.802020202020202
"4","cox1","hc",0.842664092664093
"5","cox1","hc",0.820819112627986
"6","cox1","hc",0.804413239719157
"7","cox1","hc",0.816397228637413
"8","cox1","hc",0.85792349726776
"9","cox1","hc",0.803754266211604
"10","cox1","hc",0.828920570264766
"11","cox1","hc",0.864779874213837
"12","cox1","hc",0.864
"13","cox1","hc",0.77370417193426
"14","cox1","hc",0.840540540540541
"15","cox1","hc",0.731914893617021
"16","cox1","hc",0.769539078156313
"17","cox1","hc",0.819935691318328
"18","cox1","hc",0.851476014760148
"19","cox1","hc",0.827740492170022
"20","cox1","hc",0.807357212003872
"21","cox1","hc",0.842990654205607
"22","cox1","hc",0.800189393939394
"23","cox1","hc",0.827702702702703
"24","cox1","hc",0.850663716814159
"25","cox1","hc",0.834637964774951
"26","cox1","hc",0.76541095890411
"27","cox1","hc",0.849452554744526
"28","cox1","hc",0.865116279069767
"29","cox1","hc",0.803921568627451
"30","cox1","hc",0.808808808808809
"31","cox1","hc",0.854054054054054
"32","cox1","hc",0.807602792862684
"33","cox1","hc",0.876755070202808
"34","cox1","hc",0.845
"35","cox1","hc",0.80466472303207
"36","cox1","hc",0.858323494687131
"37","cox1","hc",0.765350877192982
"38","cox1","hc",0.820305480682839
"39","cox1","hc",0.839556004036327
"40","cox1","hc",0.847286108555658
"41","cox1","hc",0.859511343804538
"42","cox1","hc",0.765258215962441
"43","cox1","hc",0.82983682983683
"44","cox1","hc",0.87146529562982
"45","cox1","hc",0.799440298507463
"46","cox1","hc",0.793706293706294
"47","cox1","hc",0.855225311601151
"48","cox1","hc",0.760824742268041
"49","cox1","hc",0.839750260145682
"50","cox1","hc",0.850815850815851
"51","cox1","hc",0.811120917917034
"52","cox1","hc",0.830543933054393
"53","cox1","hc",0.863795110593714
"54","cox1","hc",0.75979381443299
"55","cox1","hc",0.866995073891626
"56","cox1","hc",0.843857634902411
"57","cox1","hc",0.825955734406439
"58","cox1","hc",0.837571780147662
"59","cox1","hc",0.834928229665072
"60","cox1","hc",0.806763285024155
"61","cox1","hc",0.82247403210576
"62","cox1","hc",0.823255813953488
"63","cox1","hc",0.847908745247148
"64","cox1","hc",0.880252100840336
"65","cox1","hc",0.723456790123457
"66","cox1","hc",0.834965034965035
"67","cox1","hc",0.860344827586207
"68","cox1","hc",0.78328173374613
"69","cox1","hc",0.770809578107184
"70","cox1","hc",0.816775244299674
"71","cox1","hc",0.884778012684989
"72","cox1","hc",0.828992072480181
"73","cox1","hc",0.816647919010124
"74","cox1","hc",0.845401174168297
"75","cox1","hc",0.757446808510638
"76","cox1","hc",0.833078101071976
"77","cox1","hc",0.822618125484121
"78","cox1","hc",0.813898704358068
"79","cox1","hc",0.800420168067227
"80","cox1","hc",0.823834196891192
"81","cox1","hc",0.799442896935933
"82","cox1","hc",0.790072388831437
"83","cox1","hc",0.766509433962264
"84","cox1","hc",0.857825567502987
"85","cox1","hc",0.871794871794872
"86","cox1","hc",0.866541353383459
"87","cox1","hc",0.837158469945355
"88","cox1","hc",0.823588709677419
"89","cox1","hc",0.781065088757396
"90","cox1","hc",0.790178571428571
"91","cox1","hc",0.825242718446602
"92","cox1","hc",0.809859154929577
"93","cox1","hc",0.817451205510907
"94","cox1","hc",0.779661016949153
"95","cox1","hc",0.879120879120879
"96","cox1","hc",0.798927613941019
"97","cox1","hc",0.801707779886148
"98","cox1","hc",0.817391304347826
"99","cox1","hc",0.865180467091295
"100","cox1","hc",0.798442906574394
"101","cox2","hc",0.868167202572347
"102","cox2","hc",0.742647058823529
"103","cox2","hc",0.790909090909091
"104","cox2","hc",0.825772200772201
"105","cox2","hc",0.820819112627986
"106","cox2","hc",0.809428284854564
"107","cox2","hc",0.783487297921478
"108","cox2","hc",0.86448087431694
"109","cox2","hc",0.799488054607508
"110","cox2","hc",0.825865580448065
"111","cox2","hc",0.865828092243187
"112","cox2","hc",0.838222222222222
"113","cox2","hc",0.764854614412137
"114","cox2","hc",0.832432432432432
"115","cox2","hc",0.745744680851064
"116","cox2","hc",0.774549098196393
"117","cox2","hc",0.812433011789925
"118","cox2","hc",0.839483394833948
"119","cox2","hc",0.818791946308725
"120","cox2","hc",0.793320425943853
"121","cox2","hc",0.845794392523365
"122","cox2","hc",0.803977272727273
"123","cox2","hc",0.81981981981982
"124","cox2","hc",0.850663716814159
"125","cox2","hc",0.837573385518591
"126","cox2","hc",0.783390410958904
"127","cox2","hc",0.854014598540146
"128","cox2","hc",0.86046511627907
"129","cox2","hc",0.825980392156863
"130","cox2","hc",0.806806806806807
"131","cox2","hc",0.856216216216216
"132","cox2","hc",0.805275407292475
"133","cox2","hc",0.862714508580343
"134","cox2","hc",0.834
"135","cox2","hc",0.805636540330418
"136","cox2","hc",0.858323494687131
"137","cox2","hc",0.745614035087719
"138","cox2","hc",0.80952380952381
"139","cox2","hc",0.840565085771948
"140","cox2","hc",0.842686292548298
"141","cox2","hc",0.851657940663176
"142","cox2","hc",0.763380281690141
"143","cox2","hc",0.846153846153846
"144","cox2","hc",0.861182519280206
"145","cox2","hc",0.79384328358209
"146","cox2","hc",0.778846153846154
"147","cox2","hc",0.847555129434324
"148","cox2","hc",0.768041237113402
"149","cox2","hc",0.811654526534859
"150","cox2","hc",0.839160839160839
"151","cox2","hc",0.805825242718447
"152","cox2","hc",0.839958158995816
"153","cox2","hc",0.850989522700815
"154","cox2","hc",0.758762886597938
"155","cox2","hc",0.862068965517241
"156","cox2","hc",0.83467278989667
"157","cox2","hc",0.827967806841046
"158","cox2","hc",0.847415914684167
"159","cox2","hc",0.828947368421053
"160","cox2","hc",0.799033816425121
"161","cox2","hc",0.811142587346553
"162","cox2","hc",0.821395348837209
"163","cox2","hc",0.842205323193916
"164","cox2","hc",0.877100840336134
"165","cox2","hc",0.723456790123457
"166","cox2","hc",0.827972027972028
"167","cox2","hc",0.863793103448276
"168","cox2","hc",0.786377708978328
"169","cox2","hc",0.781071835803877
"170","cox2","hc",0.814332247557003
"171","cox2","hc",0.896405919661734
"172","cox2","hc",0.827859569648924
"173","cox2","hc",0.803149606299213
"174","cox2","hc",0.831702544031311
"175","cox2","hc",0.767659574468085
"176","cox2","hc",0.836140888208269
"177","cox2","hc",0.829589465530596
"178","cox2","hc",0.806831566548881
"179","cox2","hc",0.795168067226891
"180","cox2","hc",0.829879101899827
"181","cox2","hc",0.805013927576602
"182","cox2","hc",0.766287487073423
"183","cox2","hc",0.758254716981132
"184","cox2","hc",0.82078853046595
"185","cox2","hc",0.879487179487179
"186","cox2","hc",0.870300751879699
"187","cox2","hc",0.834972677595628
"188","cox2","hc",0.829637096774194
"189","cox2","hc",0.768047337278106
"190","cox2","hc",0.792857142857143
"191","cox2","hc",0.807590467784642
"192","cox2","hc",0.808098591549296
"193","cox2","hc",0.817451205510907
"194","cox2","hc",0.777401129943503
"195","cox2","hc",0.814285714285714
"196","cox2","hc",0.805630026809651
"197","cox2","hc",0.80550284629981
"198","cox2","hc",0.823188405797101
"199","cox2","hc",0.86411889596603
"200","cox2","hc",0.794117647058823
"201","cox3","hc",0.868167202572347
"202","cox3","hc",0.742647058823529
"203","cox3","hc",0.790909090909091
"204","cox3","hc",0.849420849420849
"205","cox3","hc",0.820819112627986
"206","cox3","hc",0.818455366098295
"207","cox3","hc",0.783487297921478
"208","cox3","hc",0.86448087431694
"209","cox3","hc",0.799488054607508
"210","cox3","hc",0.825865580448065
"211","cox3","hc",0.871069182389937
"212","cox3","hc",0.838222222222222
"213","cox3","hc",0.764854614412137
"214","cox3","hc",0.832432432432432
"215","cox3","hc",0.745744680851064
"216","cox3","hc",0.765531062124248
"217","cox3","hc",0.812433011789925
