"","model","variable","value"
"1","cox1","hc",0.578218432138087
"2","cox1","hc",0.544056611604549
"3","cox1","hc",0.554370323196943
"4","cox1","hc",0.536521049622895
"5","cox1","hc",0.591209919744399
"6","cox1","hc",0.55286222674123
"7","cox1","hc",0.564659635666347
"8","cox1","hc",0.546643957575288
"9","cox1","hc",0.528853083020751
"10","cox1","hc",0.562399433610092
"11","cox1","hc",0.533270978086585
"12","cox1","hc",0.533382888291688
"13","cox1","hc",0.549023225776691
"14","cox1","hc",0.560550137121884
"15","cox1","hc",0.554320922639423
"16","cox1","hc",0.590223069906294
"17","cox1","hc",0.585073172492195
"18","cox1","hc",0.569331935576098
"19","cox1","hc",0.519704988177007
"20","cox1","hc",0.579414474127665
"21","cox1","hc",0.528903261260119
"22","cox1","hc",0.570461240031611
"23","cox1","hc",0.554200596629848
"24","cox1","hc",0.522936878668104
"25","cox1","hc",0.584988603060892
"26","cox1","hc",0.528879531098845
"27","cox1","hc",0.542159225678105
"28","cox1","hc",0.555381739872415
"29","cox1","hc",0.577091933687176
"30","cox1","hc",0.529866868548849
"31","cox1","hc",0.575659098245992
"32","cox1","hc",0.56631529120469
"33","cox1","hc",0.530128895805898
"34","cox1","hc",0.575137349846354
"35","cox1","hc",0.515659125561462
"36","cox1","hc",0.551252538930264
"37","cox1","hc",0.559750906511115
"38","cox1","hc",0.546234527436085
"39","cox1","hc",0.574509447674419
"40","cox1","hc",0.544596153846154
"41","cox1","hc",0.581719625485937
"42","cox1","hc",0.56170442912055
"43","cox1","hc",0.51905476831952
"44","cox1","hc",0.594014607976214
"45","cox1","hc",0.529345737495957
"46","cox1","hc",0.563828731365504
"47","cox1","hc",0.542280120249749
"48","cox1","hc",0.539286974938228
"49","cox1","hc",0.537493373127295
"50","cox1","hc",0.59381185303151
"51","cox1","hc",0.539805200032198
"52","cox1","hc",0.590617283950617
"53","cox1","hc",0.531470269694441
"54","cox1","hc",0.516182765091614
"55","cox1","hc",0.585736970111154
"56","cox1","hc",0.584388426295578
"57","cox1","hc",0.54167979099887
"58","cox1","hc",0.582477270043689
"59","cox1","hc",0.578428273376747
"60","cox1","hc",0.548691269712242
"61","cox1","hc",0.55226474182707
"62","cox1","hc",0.553136440439313
"63","cox1","hc",0.547015247128915
"64","cox1","hc",0.593413924152988
"65","cox1","hc",0.583188710266715
"66","cox1","hc",0.557265300900967
"67","cox1","hc",0.519832639068087
"68","cox1","hc",0.567746640275029
"69","cox1","hc",0.54144442532691
"70","cox1","hc",0.58066368352275
"71","cox1","hc",0.542607181534411
"72","cox1","hc",0.533724027703783
"73","cox1","hc",0.55204152940002
"74","cox1","hc",0.563845456605484
"75","cox1","hc",0.554547687557022
"76","cox1","hc",0.554424389170152
"77","cox1","hc",0.596602080748306
"78","cox1","hc",0.552236005029369
"79","cox1","hc",0.58773776114749
"80","cox1","hc",0.549467810756318
"81","cox1","hc",0.531329258658684
"82","cox1","hc",0.560852094456982
"83","cox1","hc",0.558962977907798
"84","cox1","hc",0.566898375368096
"85","cox1","hc",0.529208168288274
"86","cox1","hc",0.518793152755648
"87","cox1","hc",0.503434696023808
"88","cox1","hc",0.57818348753443
"89","cox1","hc",0.548441694875686
"90","cox1","hc",0.568077965908875
"91","cox1","hc",0.555088561993395
"92","cox1","hc",0.549459351221466
"93","cox1","hc",0.547784131522516
"94","cox1","hc",0.533932295844698
"95","cox1","hc",0.559412004899959
"96","cox1","hc",0.530921881562369
"97","cox1","hc",0.552530435276521
"98","cox1","hc",0.589999635555232
"99","cox1","hc",0.541478646253022
"100","cox1","hc",0.55877034358047
"101","pcox1","hc",0.5880612349738
"102","pcox1","hc",0.564538889350046
"103","pcox1","hc",0.5
"104","pcox1","hc",0.552213760165225
"105","pcox1","hc",0.5
"106","pcox1","hc",0.549039145907473
"107","pcox1","hc",0.573403643336529
"108","pcox1","hc",0.559359758457846
"109","pcox1","hc",0.543469021970103
"110","pcox1","hc",0.566068095513934
"111","pcox1","hc",0.54562113461098
"112","pcox1","hc",0.547849124211409
"113","pcox1","hc",0.551375787070139
"114","pcox1","hc",0.5
"115","pcox1","hc",0.568293924552811
"116","pcox1","hc",0.5
"117","pcox1","hc",0.591677644044246
"118","pcox1","hc",0.579853235490327
"119","pcox1","hc",0.524377885373269
"120","pcox1","hc",0.581975868964433
"121","pcox1","hc",0.544374696172299
"122","pcox1","hc",0.577160715568647
"123","pcox1","hc",0.547387728775296
"124","pcox1","hc",0.5
"125","pcox1","hc",0.591222030981067
"126","pcox1","hc",0.5
"127","pcox1","hc",0.5
"128","pcox1","hc",0.564523993336313
"129","pcox1","hc",0.578052989100758
"130","pcox1","hc",0.534686190150858
"131","pcox1","hc",0.5
"132","pcox1","hc",0.577876090083201
"133","pcox1","hc",0.5
"134","pcox1","hc",0.580463730328708
"135","pcox1","hc",0.525322454361891
"136","pcox1","hc",0.565583389754006
"137","pcox1","hc",0.5
"138","pcox1","hc",0.546716538772992
"139","pcox1","hc",0.583412063953488
"140","pcox1","hc",0.5
"141","pcox1","hc",0.5
"142","pcox1","hc",0.576249251511464
"143","pcox1","hc",0.5
"144","pcox1","hc",0.625105035227199
"145","pcox1","hc",0.538439586781576
"146","pcox1","hc",0.582984298390138
"147","pcox1","hc",0.552416557465505
"148","pcox1","hc",0.549046946699612
"149","pcox1","hc",0.5
"150","pcox1","hc",0.597110681378683
"151","pcox1","hc",0.540791274249376
"152","pcox1","hc",0.597471604938272
"153","pcox1","hc",0.5
"154","pcox1","hc",0.536550909819301
"155","pcox1","hc",0.5
"156","pcox1","hc",0.58431238355956
"157","pcox1","hc",0.549128235533898
"158","pcox1","hc",0.606958712165939
"159","pcox1","hc",0.584434469241955
"160","pcox1","hc",0.552674361892375
"161","pcox1","hc",0.5
"162","pcox1","hc",0.562183187834413
"163","pcox1","hc",0.56506486889037
"164","pcox1","hc",0.5
"165","pcox1","hc",0.572867190354403
"166","pcox1","hc",0.570587912790804
"167","pcox1","hc",0.523629594131308
"168","pcox1","hc",0.57570580268778
"169","pcox1","hc",0.5
"170","pcox1","hc",0.5
"171","pcox1","hc",0.555347928566878
"172","pcox1","hc",0.534214171550346
"173","pcox1","hc",0.5
"174","pcox1","hc",0.587789863282725
"175","pcox1","hc",0.5
"176","pcox1","hc",0.557579426223494
"177","pcox1","hc",0.596163023766345
"178","pcox1","hc",0.564546699945578
"179","pcox1","hc",0.599060648581229
"180","pcox1","hc",0.578585830168331
"181","pcox1","hc",0.536089975468795
"182","pcox1","hc",0.57050329351755
"183","pcox1","hc",0.565842832644003
"184","pcox1","hc",0.566237304433182
"185","pcox1","hc",0.54436026612314
"186","pcox1","hc",0.52976263430976
"187","pcox1","hc",0.5
"188","pcox1","hc",0.583074369658874
"189","pcox1","hc",0.5
"190","pcox1","hc",0.578051231489733
"191","pcox1","hc",0.551062214138132
"192","pcox1","hc",0.5
"193","pcox1","hc",0.557130092923517
"194","pcox1","hc",0.542996951708647
"195","pcox1","hc",0.562294333821728
"196","pcox1","hc",0.536040529189416
"197","pcox1","hc",0.5
"198","pcox1","hc",0.597361419876818
"199","pcox1","hc",0.549435938759065
"200","pcox1","hc",0.5
"201","pcox2","hc",0.584136443028871
"202","pcox2","hc",0.554619407321325
"203","pcox2","hc",0.5
"204","pcox2","hc",0.547917166091943
"205","pcox2","hc",0.5
"206","pcox2","hc",0.551032028469751
"207","pcox2","hc",0.568360498561841
"208","pcox2","hc",0.552585739722846
"209","pcox2","hc",0.5
"210","pcox2","hc",0.562807062710519
"211","pcox2","hc",0.543158738642437
"212","pcox2","hc",0.540225284464521
"213","pcox2","hc",0.544848582697142
"214","pcox2","hc",0.5
"215","pcox2","hc",0.5
"216","pcox2","hc",0.5
"217","pcox2","hc",0.589837053611708
"218","pcox2","hc",0.577623177356333
"219","pcox2","hc",0.520024021318921
"220","pcox2","hc",0.580852450176377
"221","pcox2","hc",0.532813391668252
"222","pcox2","hc",0.571197643508873
"223","pcox2","hc",0.553293558010159
"224","pcox2","hc",0.5
"225","pcox2","hc",0.585686374843001
"226","pcox2","hc",0.5
"227","pcox2","hc",0.5
"228","pcox2","hc",0.563731664702775
"229","pcox2","hc",0.576436668632462
"230","pcox2","hc",0.530697786066436
"231","pcox2","hc",0.5
"232","pcox2","hc",0.573506654286599
"233","pcox2","hc",0.5
"234","pcox2","hc",0.577837787503492
"235","pcox2","hc",0.52245848271315
"236","pcox2","hc",0.5
"237","pcox2","hc",0.5
"238","pcox2","hc",0.544325762541935
"239","pcox2","hc",0.581013808139535
"240","pcox2","hc",0.5
"241","pcox2","hc",0.5
"242","pcox2","hc",0.568040022406367
"243","pcox2","hc",0.5
"244","pcox2","hc",0.5
"245","pcox2","hc",0.533797538192264
"246","pcox2","hc",0.575322071580285
"247","pcox2","hc",0.545498342711786
"248","pcox2","hc",0.544740557712672
"249","pcox2","hc",0.5
"250","pcox2","hc",0.594744625184848
"251","pcox2","hc",0.542340819447798
"252","pcox2","hc",0.591743209876543
"253","pcox2","hc",0.5
"254","pcox2","hc",0.525354755729859
"255","pcox2","hc",0.5
"256","pcox2","hc",0.584217330139538
"257","pcox2","hc",0.542865613014397
"258","pcox2","hc",0.596410438068249
"259","pcox2","hc",0.579734884407073
"260","pcox2","hc",0.548081612745895
"261","pcox2","hc",0.5
"262","pcox2","hc",0.557290199943678
"263","pcox2","hc",0.554678007290401
"264","pcox2","hc",0.5
"265","pcox2","hc",0.58136189258312
"266","pcox2","hc",0.566987700798626
"267","pcox2","hc",0.52187857116526
"268","pcox2","hc",0.571476195437025
"269","pcox2","hc",0.5
"270","pcox2","hc",0.5
"271","pcox2","hc",0.551207185781326
"272","pcox2","hc",0.532573255194459
"273","pcox2","hc",0.5
"274","pcox2","hc",0.577894856106957
"275","pcox2","hc",0.5
"276","pcox2","hc",0.557561082984812
"277","pcox2","hc",0.598950081130095
"278","pcox2","hc",0.555557640700358
"279","pcox2","hc",0.592687870283754
"280","pcox2","hc",0.567074600271956
"281","pcox2","hc",0.5
"282","pcox2","hc",0.564026348140401
"283","pcox2","hc",0.5
"284","pcox2","hc",0.563853442576975
"285","pcox2","hc",0.5
"286","pcox2","hc",0.525779303019161
"287","pcox2","hc",0.5
"288","pcox2","hc",0.580708383360407
"289","pcox2","hc",0.5
"290","pcox2","hc",0.571452949318367
"291","pcox2","hc",0.550850301093118
"292","pcox2","hc",0.5
"293","pcox2","hc",0.55421729807005
"294","pcox2","hc",0.536739932616717
"295","pcox2","hc",0.5
"296","pcox2","hc",0.529556908861823
"297","pcox2","hc",0.5
"298","pcox2","hc",0.593461860854987
"299","pcox2","hc",0.544057211925866
"300","pcox2","hc",0.5
"301","pcox3","hc",0.588595499845885
"302","pcox3","hc",0.566987631775546
"303","pcox3","hc",0.5
