"","model","variable","value"
"1","cox1","hc",0.650137741046832
"2","cox1","hc",0.659016393442623
"3","cox1","hc",0.656976744186046
"4","cox1","hc",0.689759036144578
"5","cox1","hc",0.710982658959538
"6","cox1","hc",0.771739130434783
"7","cox1","hc",0.693877551020408
"8","cox1","hc",0.690184049079755
"9","cox1","hc",0.663817663817664
"10","cox1","hc",0.610429447852761
"11","cox1","hc",0.640117994100295
"12","cox1","hc",0.648967551622419
"13","cox1","hc",0.649546827794562
"14","cox1","hc",0.774285714285714
"15","cox1","hc",0.773255813953488
"16","cox1","hc",0.688
"17","cox1","hc",0.652777777777778
"18","cox1","hc",0.751479289940828
"19","cox1","hc",0.621451104100946
"20","cox1","hc",0.763239875389408
"21","cox1","hc",0.651810584958217
"22","cox1","hc",0.66120218579235
"23","cox1","hc",0.671428571428571
"24","cox1","hc",0.761609907120743
"25","cox1","hc",0.678456591639871
"26","cox1","hc",0.743869209809264
"27","cox1","hc",0.604790419161677
"28","cox1","hc",0.677611940298507
"29","cox1","hc",0.57396449704142
"30","cox1","hc",0.724550898203593
"31","cox1","hc",0.724719101123595
"32","cox1","hc",0.551020408163265
"33","cox1","hc",0.681681681681682
"34","cox1","hc",0.696531791907514
"35","cox1","hc",0.779816513761468
"36","cox1","hc",0.590163934426229
"37","cox1","hc",0.612732095490716
"38","cox1","hc",0.662162162162162
"39","cox1","hc",0.73030303030303
"40","cox1","hc",0.727272727272727
"41","cox1","hc",0.735537190082645
"42","cox1","hc",0.692934782608696
"43","cox1","hc",0.694006309148265
"44","cox1","hc",0.659509202453988
"45","cox1","hc",0.725373134328358
"46","cox1","hc",0.66016713091922
"47","cox1","hc",0.684065934065934
"48","cox1","hc",0.638629283489097
"49","cox1","hc",0.698757763975155
"50","cox1","hc",0.765217391304348
"51","cox1","hc",0.606741573033708
"52","cox1","hc",0.671469740634006
"53","cox1","hc",0.73208722741433
"54","cox1","hc",0.690751445086705
"55","cox1","hc",0.736686390532544
"56","cox1","hc",0.730205278592375
"57","cox1","hc",0.669312169312169
"58","cox1","hc",0.685294117647059
"59","cox1","hc",0.628571428571429
"60","cox1","hc",0.702064896755162
"61","cox1","hc",0.709480122324159
"62","cox1","hc",0.652173913043478
"63","cox1","hc",0.721556886227545
"64","cox1","hc",0.741741741741742
"65","cox1","hc",0.697142857142857
"66","cox1","hc",0.629333333333333
"67","cox1","hc",0.665730337078652
"68","cox1","hc",0.668571428571429
"69","cox1","hc",0.729166666666667
"70","cox1","hc",0.700879765395894
"71","cox1","hc",0.757746478873239
"72","cox1","hc",0.662162162162162
"73","cox1","hc",0.754658385093168
"74","cox1","hc",0.666666666666667
"75","cox1","hc",0.624633431085044
"76","cox1","hc",0.657824933687003
"77","cox1","hc",0.729885057471264
"78","cox1","hc",0.704477611940298
"79","cox1","hc",0.687878787878788
"80","cox1","hc",0.56832298136646
"81","cox1","hc",0.66189111747851
"82","cox1","hc",0.697142857142857
"83","cox1","hc",0.64306784660767
"84","cox1","hc",0.728915662650602
"85","cox1","hc",0.666666666666667
"86","cox1","hc",0.702479338842975
"87","cox1","hc",0.653295128939828
"88","cox1","hc",0.64741641337386
"89","cox1","hc",0.72809667673716
"90","cox1","hc",0.669616519174041
"91","cox1","hc",0.644021739130435
"92","cox1","hc",0.694214876033058
"93","cox1","hc",0.757575757575758
"94","cox1","hc",0.65615141955836
"95","cox1","hc",0.722388059701493
"96","cox1","hc",0.729508196721312
"97","cox1","hc",0.716666666666667
"98","cox1","hc",0.740061162079511
"99","cox1","hc",0.614243323442137
"100","cox1","hc",0.647058823529412
"101","cox2","hc",0.695592286501377
"102","cox2","hc",0.657377049180328
"103","cox2","hc",0.694767441860465
"104","cox2","hc",0.704819277108434
"105","cox2","hc",0.722543352601156
"106","cox2","hc",0.773097826086957
"107","cox2","hc",0.749271137026239
"108","cox2","hc",0.723926380368098
"109","cox2","hc",0.699430199430199
"110","cox2","hc",0.601226993865031
"111","cox2","hc",0.613569321533923
"112","cox2","hc",0.678466076696165
"113","cox2","hc",0.673716012084592
"114","cox2","hc",0.78
"115","cox2","hc",0.781976744186046
"116","cox2","hc",0.728
"117","cox2","hc",0.677777777777778
"118","cox2","hc",0.75
"119","cox2","hc",0.648264984227129
"120","cox2","hc",0.750778816199377
"121","cox2","hc",0.692200557103064
"122","cox2","hc",0.706284153005464
"123","cox2","hc",0.688571428571429
"124","cox2","hc",0.804953560371517
"125","cox2","hc",0.678456591639871
"126","cox2","hc",0.772479564032698
"127","cox2","hc",0.630239520958084
"128","cox2","hc",0.714925373134328
"129","cox2","hc",0.606508875739645
"130","cox2","hc",0.775449101796407
"131","cox2","hc",0.734550561797753
"132","cox2","hc",0.619533527696793
"133","cox2","hc",0.686186186186186
"134","cox2","hc",0.713872832369942
"135","cox2","hc",0.773700305810398
"136","cox2","hc",0.587431693989071
"137","cox2","hc",0.689655172413793
"138","cox2","hc",0.726351351351351
"139","cox2","hc",0.743939393939394
"140","cox2","hc",0.758064516129032
"141","cox2","hc",0.736914600550964
"142","cox2","hc",0.703804347826087
"143","cox2","hc",0.719242902208202
"144","cox2","hc",0.699386503067485
"145","cox2","hc",0.722388059701493
"146","cox2","hc",0.714484679665738
"147","cox2","hc",0.725274725274725
"148","cox2","hc",0.652647975077882
"149","cox2","hc",0.742236024844721
"150","cox2","hc",0.759420289855072
"151","cox2","hc",0.64185393258427
"152","cox2","hc",0.685878962536023
"153","cox2","hc",0.741433021806854
"154","cox2","hc",0.669075144508671
"155","cox2","hc",0.72189349112426
"156","cox2","hc",0.756598240469208
"157","cox2","hc",0.705026455026455
"158","cox2","hc",0.735294117647059
"159","cox2","hc",0.623809523809524
"160","cox2","hc",0.6976401179941
"161","cox2","hc",0.703363914373089
"162","cox2","hc",0.66304347826087
"163","cox2","hc",0.711077844311377
"164","cox2","hc",0.767267267267267
"165","cox2","hc",0.715714285714286
"166","cox2","hc",0.645333333333333
"167","cox2","hc",0.710674157303371
"168","cox2","hc",0.704285714285714
"169","cox2","hc",0.715277777777778
"170","cox2","hc",0.749266862170088
"171","cox2","hc",0.750704225352113
"172","cox2","hc",0.656756756756757
"173","cox2","hc",0.804347826086957
"174","cox2","hc",0.66358024691358
"175","cox2","hc",0.626099706744868
"176","cox2","hc",0.702917771883289
"177","cox2","hc",0.734195402298851
"178","cox2","hc",0.738805970149254
"179","cox2","hc",0.763636363636364
"180","cox2","hc",0.583850931677019
"181","cox2","hc",0.720630372492837
"182","cox2","hc",0.724285714285714
"183","cox2","hc",0.684365781710914
"184","cox2","hc",0.745481927710843
"185","cox2","hc",0.666666666666667
"186","cox2","hc",0.730027548209366
"187","cox2","hc",0.700573065902579
"188","cox2","hc",0.658054711246201
"189","cox2","hc",0.722054380664653
"190","cox2","hc",0.660766961651917
"191","cox2","hc",0.682065217391304
"192","cox2","hc",0.746556473829201
"193","cox2","hc",0.753030303030303
"194","cox2","hc",0.697160883280757
"195","cox2","hc",0.708955223880597
"196","cox2","hc",0.760928961748634
"197","cox2","hc",0.755555555555556
"198","cox2","hc",0.7217125382263
"199","cox2","hc",0.624629080118694
"200","cox2","hc",0.696594427244582
"201","cox3","hc",0.695592286501377
"202","cox3","hc",0.657377049180328
"203","cox3","hc",0.694767441860465
"204","cox3","hc",0.704819277108434
"205","cox3","hc",0.722543352601156
"206","cox3","hc",0.773097826086957
"207","cox3","hc",0.749271137026239
"208","cox3","hc",0.723926380368098
"209","cox3","hc",0.699430199430199
"210","cox3","hc",0.601226993865031
"211","cox3","hc",0.613569321533923
"212","cox3","hc",0.678466076696165
"213","cox3","hc",0.673716012084592
"214","cox3","hc",0.78
"215","cox3","hc",0.781976744186046
"216","cox3","hc",0.728
"217","cox3","hc",0.677777777777778
"218","cox3","hc",0.75
"219","cox3","hc",0.648264984227129
"220","cox3","hc",0.750778816199377
"221","cox3","hc",0.692200557103064
"222","cox3","hc",0.706284153005464
"223","cox3","hc",0.688571428571429
"224","cox3","hc",0.804953560371517
"225","cox3","hc",0.678456591639871
"226","cox3","hc",0.772479564032698
"227","cox3","hc",0.630239520958084
"228","cox3","hc",0.714925373134328
"229","cox3","hc",0.606508875739645
"230","cox3","hc",0.775449101796407
"231","cox3","hc",0.734550561797753
"232","cox3","hc",0.619533527696793
"233","cox3","hc",0.686186186186186
"234","cox3","hc",0.713872832369942
"235","cox3","hc",0.773700305810398
"236","cox3","hc",0.587431693989071
"237","cox3","hc",0.689655172413793
"238","cox3","hc",0.726351351351351
"239","cox3","hc",0.743939393939394
"240","cox3","hc",0.758064516129032
"241","cox3","hc",0.736914600550964
"242","cox3","hc",0.703804347826087
"243","cox3","hc",0.719242902208202
"244","cox3","hc",0.699386503067485
"245","cox3","hc",0.722388059701493
"246","cox3","hc",0.714484679665738
"247","cox3","hc",0.725274725274725
"248","cox3","hc",0.652647975077882
"249","cox3","hc",0.742236024844721
"250","cox3","hc",0.759420289855072
"251","cox3","hc",0.64185393258427
"252","cox3","hc",0.685878962536023
"253","cox3","hc",0.741433021806854
"254","cox3","hc",0.669075144508671
"255","cox3","hc",0.72189349112426
"256","cox3","hc",0.756598240469208
"257","cox3","hc",0.705026455026455
"258","cox3","hc",0.735294117647059
"259","cox3","hc",0.623809523809524
"260","cox3","hc",0.6976401179941
"261","cox3","hc",0.703363914373089
"262","cox3","hc",0.66304347826087
"263","cox3","hc",0.711077844311377
"264","cox3","hc",0.767267267267267
"265","cox3","hc",0.715714285714286
"266","cox3","hc",0.645333333333333
"267","cox3","hc",0.710674157303371
"268","cox3","hc",0.704285714285714
"269","cox3","hc",0.715277777777778
"270","cox3","hc",0.749266862170088
"271","cox3","hc",0.750704225352113
"272","cox3","hc",0.656756756756757
"273","cox3","hc",0.804347826086957
"274","cox3","hc",0.66358024691358
"275","cox3","hc",0.626099706744868
"276","cox3","hc",0.702917771883289
"277","cox3","hc",0.734195402298851
"278","cox3","hc",0.738805970149254
"279","cox3","hc",0.763636363636364
"280","cox3","hc",0.583850931677019
"281","cox3","hc",0.720630372492837
"282","cox3","hc",0.724285714285714
"283","cox3","hc",0.684365781710914
"284","cox3","hc",0.745481927710843
"285","cox3","hc",0.666666666666667
"286","cox3","hc",0.730027548209366
"287","cox3","hc",0.700573065902579
"288","cox3","hc",0.658054711246201
"289","cox3","hc",0.722054380664653
"290","cox3","hc",0.660766961651917
"291","cox3","hc",0.682065217391304
"292","cox3","hc",0.746556473829201
"293","cox3","hc",0.753030303030303
"294","cox3","hc",0.697160883280757
"295","cox3","hc",0.708955223880597
"296","cox3","hc",0.760928961748634
"297","cox3","hc",0.755555555555556
"298","cox3","hc",0.7217125382263
"299","cox3","hc",0.624629080118694
"300","cox3","hc",0.696594427244582
"301","cox4","hc",0.695592286501377
"302","cox4","hc",0.657377049180328
"303","cox4","hc",0.694767441860465
"304","cox4","hc",0.704819277108434
"305","cox4","hc",0.722543352601156
"306","cox4","hc",0.773097826086957
"307","cox4","hc",0.749271137026239
"308","cox4","hc",0.723926380368098
"309","cox4","hc",0.699430199430199
"310","cox4","hc",0.601226993865031
"311","cox4","hc",0.613569321533923
"312","cox4","hc",0.678466076696165
"313","cox4","hc",0.673716012084592
